"1300 SMILES LIMITED","ONT","Health Care Equipment & Services"
"3D OIL LIMITED","TDO","Energy"
"3D RESOURCES LIMITED","DDD","Materials"
"3Q HOLDINGS LIMITED","TQH","Software & Services"
"4C SECURITY SOLUTIONS LIMITED","FCS","Technology Hardware & Equipment"
"A-CAP RESOURCES LIMITED","ACB","Materials"
"A1 MINERALS LIMITED","AAM","Materials"
"AACL HOLDINGS LIMITED","AAY","Diversified Financials"
"AAQ HOLDINGS LIMITED","AAQ","Food Beverage & Tobacco"
"AB SVENSK EXPORTKREDIT","SEP","GICS Sector Code Not Applicable"
"ABACUS PROPERTY GROUP","ABP","Real Estate"
"ABERDEEN LEADERS LIMITED","ALR","Diversified Financials"
"ABM RESOURCES NL","ABU","Materials"
"ABRA MINING LIMITED","AII","Materials"
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services"
"ACCENT RESOURCES NL","ACS","Materials"
"ACCLAIM EXPLORATION NL","AEX","Materials"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTINOGEN LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEX LIMITED","AIV","Materials"
"ACUVAX LIMITED","ACU","Pharmaceuticals, Biotechnology & Life Sciences"
"ADACEL TECHNOLOGIES LIMITED","ADA","Software & Services"
"ADAMUS RESOURCES LIMITED","ADU","Materials"
"ADAVALE RESOURCES LIMITED","ADD","Technology Hardware & Equipment"
"ADCORP AUSTRALIA LIMITED","AAU","Media"
"ADEFFECTIVE LIMITED","ABN","Media"
"ADELAIDE BRIGHTON LIMITED","ABC","Materials"
"ADELAIDE ENERGY LIMITED","ADE","Energy"
"ADELAIDE MANAGED FUNDS ASSET BACKED YIELD TRUST","AYT","Diversified Financials"
"ADELAIDE RESOURCES LIMITED","ADN","Materials"
"ADG GLOBAL SUPPLY LIMITED.","ADQ","Capital Goods"
"ADITYA BIRLA MINERALS LIMITED","ABY","Materials"
"ADMIRALTY RESOURCES NL.","ADY","Materials"
"ADVANCE ENERGY LIMITED","AVD","Energy"
"ADVANCED BRAKING TECHNOLOGY LTD","ABV","Automobile & Components"
"ADVANCED ENERGY SYSTEMS LIMITED","AES","Utilities"
"ADVANCED ENGINE COMPONENTS LIMITED","ACE","Automobile & Components"
"ADVANCED MAGNESIUM LIMITED","ANM","Materials"
"ADVANCED SHARE REGISTRY LIMITED","ASW","Diversified Financials"
"ADVANCED SURGICAL DESIGN & MANUFACTURE LIMITED","AMT","Health Care Equipment & Services"
"ADX ENERGY LTD","ADX","Energy"
"AED OIL LIMITED","AED","Energy"
"AERIS ENVIRONMENTAL LTD","AEI","Commercial & Professional Services"
"AFRICAN ENERGY RESOURCES LIMITED","AFR","Energy"
"AFRICAN IRON LIMITED","AKI","Materials"
"AFT CORPORATION LIMITED","AFT","Capital Goods"
"AGENIX LIMITED","AGX","Pharmaceuticals, Biotechnology & Life Sciences"
"AGL - OPTIONS OVER BASKET","AG1","Classification Pending"
"AGL - OPTIONS OVER BASKET.","AG2","Classification Pending"
"AGL ENERGY LIMITED","AGK","Utilities"
"AGRI ENERGY LIMITED","AAE","Energy"
"AGRICULTURAL LAND TRUST","AGJ","Real Estate"
"AGUIA RESOURCES LIMITED","AGR","Materials"
"AHC LIMITED","AHC","Real Estate"
"AII S&P/ASX 200 ENERGY","ENY","GICS Sector Code Not Applicable"
"AII S&P/ASX 200 FINANCIAL-X-A-REIT","FIX","GICS Sector Code Not Applicable"
"AII S&P/ASX 200 FINANCIALS","FIN","GICS Sector Code Not Applicable"
"AII S&P/ASX 200 INDUSTRIALS","IDD","GICS Sector Code Not Applicable"
"AII S&P/ASX 200 RESOURCES","RSR","GICS Sector Code Not Applicable"
"AII S&P/ASX 300 METALS & MINING","MAM","GICS Sector Code Not Applicable"
"AINSWORTH GAME TECHNOLOGY LIMITED","AGI","Consumer Services"
"AIR CHANGE INTERNATIONAL LIMITED","AHJ","Diversified Financials"
"AIR NEW ZEALAND LIMITED","AIZ","Transportation"
"AIRCRUISING AUSTRALIA LIMITED","AIG","Consumer Services"
"AJ LUCAS GROUP LIMITED","AJL","Capital Goods"
"ALACER GOLD CORP.","AQG","Materials"
"ALAMAR RESOURCES LIMITED","ALG","Materials"
"ALARA RESOURCES LIMITED","AUQ","Energy"
"ALBIDON LIMITED","ALB","Materials"
"ALCHEMIA LIMITED","ACL","Pharmaceuticals, Biotechnology & Life Sciences"
"ALCHEMY RESOURCES LIMITED","ALY","Materials"
"ALCOA INC.","AAI","Materials"
"ALCYONE RESOURCES LTD","AYN","Materials"
"ALE PROPERTY GROUP","LEP","Real Estate"
"ALESCO CORPORATION LIMITED","ALS","Capital Goods"
"ALEXIUM INTERNATIONAL GROUP LIMITED","AJX","Materials"
"ALGAE.TEC LIMITED","AEB","Energy"
"ALINTA ENERGY LIMITED","AEJ","Utilities"
"ALINTA LIMITED - OPTIONS OVER BASKET","AA1","Classification Pending"
"ALKANE RESOURCES LIMITED","ALK","Materials"
"ALLIANCE RESOURCES LIMITED","AGS","Materials"
"ALLIED BRANDS LIMITED","ABQ","Consumer Services"
"ALLIED GOLD LIMITED","ALD","Materials"
"ALLIGATOR ENERGY LIMITED","AGE","Materials"
"ALLMINE GROUP LIMITED","AZG","Commercial & Professional Services"
"ALLOY RESOURCES LIMITED","AYR","Materials"
"ALPHA FINANCIAL PRODUCTS LIMITED","AFP","GICS Sector Code Not Applicable"
"ALPHA TECHNOLOGIES CORPORATION LIMITED","ASU","Technology Hardware & Equipment"
"ALTERNATIVE INVESTMENT TRUST","AIQ","Diversified Financials"
"ALTIUM LIMITED","ALU","Software & Services"
"ALTONA MINING LIMITED","AOH","Materials"
"ALTURA MINING LIMITED","AJM","Materials"
"ALUMINA LIMITED","AWC","Materials"
"AMA GROUP LIMITED","AMA","Retailing"
"AMADEUS ENERGY LIMITED","AMU","Energy"
"AMALGAMATED HOLDINGS LIMITED","AHD","Media"
"AMBERTECH LIMITED","AMO","Technology Hardware & Equipment"
"AMBITION GROUP LIMITED","AMB","Commercial & Professional Services"
"AMCIL LIMITED","AMH","Diversified Financials"
"AMCOM TELECOMMUNICATIONS LIMITED","AMM","Telecommunication Services"
"AMCOR LIMITED","AMC","Materials"
"AMEX RESOURCES LIMITED","AXZ","Materials"
"AMP CAPITAL CHINA GROWTH FUND","AGF","Diversified Financials"
"AMP GROUP FINANCE SERVICES LIMITED.","AQN","GICS Sector Code Not Applicable"
"AMP LIMITED","AMP","Insurance"
"AMPELLA MINING LIMITED","AMX","Materials"
"AMPN OPTIONS","AM9","Classification Pending"
"ANAECO LIMITED","ANQ","Commercial & Professional Services"
"ANAGEN LIMITED","AGN","Classification Pending"
"ANALYTICA LIMITED","ALT","Health Care Equipment & Services"
"ANATOLIA ENERGY LIMITED","AEK","Materials"
"ANCHOR RESOURCES LIMITED","AHR","Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)","ATM","Materials"
"ANGLO AUSTRALIAN RESOURCES NL","AAR","Materials"
"ANGLOGOLD ASHANTI LIMITED","AGG","Materials"
"ANITTEL GROUP LIMITED","AYG","Technology Hardware & Equipment"
"ANSELL LIMITED","ANN","Health Care Equipment & Services"
"ANTARES ENERGY LIMITED","AZZ","Energy"
"ANTARIA LIMITED","ANO","Materials"
"ANTEO DIAGNOSTICS LIMITED","ADO","Pharmaceuticals, Biotechnology & Life Sciences"
"ANTIPA MINERALS LIMITED","AZY","Classification Pending"
