Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,1.49,1.49,1.46,1.47,1364500,1.47
2011-05-13,1.47,1.51,1.47,1.49,772000,1.49
2011-05-12,1.46,1.48,1.46,1.46,1475600,1.46
2011-05-11,1.47,1.48,1.45,1.46,1885500,1.46
2011-05-10,1.46,1.46,1.44,1.45,5115200,1.45
2011-05-09,1.54,1.54,1.54,1.54,000,1.54
2011-05-06,1.57,1.58,1.55,1.55,114000,1.55
2011-05-05,1.55,1.56,1.53,1.55,291800,1.55
2011-05-04,1.59,1.59,1.55,1.56,205700,1.56
2011-05-03,1.60,1.62,1.58,1.59,232100,1.59
2011-05-02,1.58,1.60,1.57,1.58,387400,1.58
2011-04-29,1.60,1.60,1.57,1.59,368500,1.59
2011-04-28,1.63,1.63,1.60,1.61,451900,1.61
2011-04-27,1.65,1.66,1.62,1.63,229200,1.63
2011-04-21,1.65,1.67,1.62,1.62,276700,1.62
2011-04-20,1.62,1.64,1.62,1.64,196000,1.64
2011-04-19,1.60,1.64,1.60,1.62,143100,1.62
2011-04-18,1.64,1.64,1.62,1.62,365400,1.62
2011-04-15,1.64,1.65,1.62,1.63,301000,1.63
2011-04-14,1.63,1.63,1.61,1.63,202800,1.63
2011-04-13,1.67,1.67,1.62,1.63,220800,1.63
2011-04-12,1.67,1.67,1.62,1.63,322000,1.63
2011-04-11,1.65,1.71,1.65,1.66,1046100,1.66
2011-04-08,1.67,1.67,1.63,1.64,828900,1.64
2011-04-07,1.63,1.65,1.62,1.63,733900,1.63
2011-04-06,1.64,1.64,1.61,1.63,141500,1.63
2011-04-05,1.65,1.66,1.62,1.63,444800,1.63
2011-04-04,1.63,1.65,1.62,1.65,150700,1.65
2011-04-01,1.61,1.64,1.61,1.63,691400,1.63
2011-03-31,1.61,1.62,1.60,1.61,102400,1.61
2011-03-30,1.60,1.64,1.60,1.60,502200,1.60
2011-03-29,1.62,1.66,1.62,1.63,344600,1.63
2011-03-28,1.65,1.68,1.65,1.66,1040800,1.66
