Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,3.12,3.14,3.05,3.08,247000,3.08
2011-05-13,3.14,3.19,3.11,3.15,138500,3.15
2011-05-12,3.14,3.17,3.07,3.17,300800,3.17
2011-05-11,3.14,3.20,3.14,3.15,128600,3.15
2011-05-10,3.16,3.19,3.11,3.15,235400,3.15
2011-05-09,2.99,3.22,2.99,3.20,691100,3.20
2011-05-06,2.90,2.96,2.85,2.93,92500,2.93
2011-05-05,2.73,2.99,2.73,2.98,487200,2.98
2011-05-04,2.76,2.79,2.66,2.72,245400,2.72
2011-05-03,2.78,2.86,2.76,2.80,241000,2.80
2011-05-02,2.87,2.88,2.75,2.79,683800,2.79
2011-04-29,2.96,3.00,2.74,2.88,507800,2.88
2011-04-28,3.10,3.10,2.90,2.94,183000,2.94
2011-04-27,3.13,3.15,3.07,3.10,402400,3.10
2011-04-21,3.10,3.15,3.04,3.08,182900,3.08
2011-04-20,3.05,3.09,3.04,3.05,206100,3.05
2011-04-19,3.08,3.10,3.04,3.05,208400,3.05
2011-04-18,3.07,3.13,3.04,3.11,286600,3.11
2011-04-15,3.13,3.18,3.06,3.08,161800,3.08
2011-04-14,3.17,3.22,3.11,3.18,315200,3.18
2011-04-13,3.21,3.24,3.11,3.18,300900,3.18
2011-04-12,3.35,3.35,3.20,3.21,211500,3.21
2011-04-11,3.35,3.38,3.31,3.35,170200,3.35
2011-04-08,3.37,3.38,3.30,3.35,154200,3.35
2011-04-07,3.42,3.42,3.35,3.36,197600,3.36
2011-04-06,3.39,3.43,3.37,3.39,271800,3.39
2011-04-05,3.39,3.45,3.33,3.40,891700,3.40
2011-04-04,3.37,3.43,3.35,3.39,261200,3.39
2011-04-01,3.32,3.38,3.30,3.35,443900,3.35
2011-03-31,3.34,3.38,3.31,3.35,93300,3.35
2011-03-30,3.45,3.49,3.34,3.38,156900,3.38
2011-03-29,3.49,3.49,3.37,3.44,106400,3.44
2011-03-28,3.44,3.49,3.44,3.49,234300,3.49
2011-03-25,3.39,3.49,3.39,3.43,129300,3.43
2011-03-24,3.30,3.39,3.30,3.37,197300,3.37
2011-03-23,3.31,3.34,3.30,3.30,71300,3.30
2011-03-22,3.32,3.39,3.30,3.33,100000,3.33
2011-03-21,3.37,3.37,3.28,3.33,161200,3.33
2011-03-18,3.07,3.37,3.07,3.37,536100,3.37
2011-03-17,3.10,3.15,3.00,3.10,297600,3.10
2011-03-16,3.15,3.22,3.13,3.20,330900,3.20
2011-03-15,3.30,3.32,3.08,3.18,550800,3.18
2011-03-14,3.30,3.39,3.27,3.27,358300,3.27
2011-03-11,3.30,3.42,3.25,3.41,475900,3.41
2011-03-10,3.44,3.44,3.32,3.35,320800,3.35
2011-03-09,3.45,3.50,3.39,3.45,315600,3.45
2011-03-08,3.50,3.50,3.40,3.45,257200,3.45
2011-03-07,3.49,3.52,3.48,3.50,326200,3.50
2011-03-04,3.49,3.55,3.48,3.54,385100,3.54
2011-03-03,3.50,3.50,3.40,3.47,238200,3.47
2011-03-02,3.39,3.53,3.32,3.52,432500,3.52
2011-03-01,3.23,3.48,3.22,3.40,413200,3.40
2011-02-28,3.24,3.29,3.21,3.23,82500,3.23
2011-02-25,3.24,3.25,3.21,3.24,132000,3.24
2011-02-24,3.30,3.30,3.20,3.22,296100,3.22
2011-02-23,3.18,3.34,3.13,3.31,457800,3.31
2011-02-22,3.16,3.20,3.12,3.20,261900,3.20
2011-02-21,3.20,3.21,3.10,3.16,324700,3.16
2011-02-18,3.23,3.23,3.20,3.20,126300,3.20
2011-02-17,3.18,3.25,3.16,3.20,440300,3.20
2011-02-16,3.30,3.30,3.20,3.20,361100,3.20
2011-02-15,3.30,3.33,3.26,3.32,274200,3.32
2011-02-14,3.33,3.34,3.26,3.27,253600,3.27
2011-02-11,3.35,3.36,3.31,3.31,63100,3.31
