Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,2.16,2.20,2.16,2.18,316400,2.18
2011-05-13,2.19,2.21,2.17,2.18,319400,2.18
2011-05-12,2.18,2.20,2.17,2.19,541500,2.19
2011-05-11,2.20,2.21,2.15,2.19,493100,2.19
2011-05-10,2.20,2.20,2.17,2.19,532300,2.19
2011-05-09,2.20,2.21,2.18,2.20,305700,2.20
2011-05-06,2.20,2.21,2.15,2.18,695700,2.18
2011-05-05,2.20,2.21,2.18,2.21,568300,2.21
2011-05-04,2.20,2.21,2.19,2.20,494900,2.20
2011-05-03,2.21,2.25,2.21,2.22,524300,2.22
2011-05-02,2.20,2.25,2.20,2.24,472700,2.24
2011-04-29,2.22,2.25,2.20,2.25,855800,2.25
2011-04-28,2.21,2.22,2.18,2.21,1426600,2.21
2011-04-27,2.23,2.23,2.20,2.20,532400,2.20
2011-04-21,2.24,2.24,2.21,2.21,496800,2.21
2011-04-20,2.21,2.24,2.20,2.20,548000,2.20
2011-04-19,2.23,2.24,2.22,2.22,467500,2.22
2011-04-18,2.26,2.27,2.20,2.24,791700,2.24
2011-04-15,2.24,2.28,2.24,2.25,253100,2.25
2011-04-14,2.30,2.30,2.24,2.27,591400,2.27
2011-04-13,2.24,2.30,2.22,2.29,670400,2.29
2011-04-12,2.28,2.29,2.22,2.24,600500,2.24
2011-04-11,2.33,2.36,2.21,2.27,743600,2.27
2011-04-08,2.36,2.39,2.31,2.33,560500,2.33
2011-04-07,2.36,2.38,2.35,2.38,805200,2.38
2011-04-06,2.33,2.37,2.33,2.37,479100,2.37
2011-04-05,2.35,2.39,2.32,2.33,655500,2.33
2011-04-04,2.35,2.38,2.34,2.35,366600,2.35
2011-04-01,2.35,2.39,2.31,2.35,590000,2.35
2011-03-31,2.39,2.39,2.28,2.35,723200,2.35
2011-03-30,2.35,2.45,2.34,2.40,972800,2.40
2011-03-29,2.29,2.35,2.27,2.34,673400,2.34
2011-03-28,2.30,2.33,2.27,2.32,607000,2.32
2011-03-25,2.30,2.33,2.25,2.33,556700,2.33
2011-03-24,2.28,2.30,2.26,2.30,302600,2.30
2011-03-23,2.25,2.29,2.25,2.28,521900,2.28
2011-03-22,2.25,2.26,2.24,2.26,963000,2.26
2011-03-21,2.23,2.24,2.16,2.24,679100,2.24
2011-03-18,2.16,2.28,2.14,2.26,1057600,2.26
2011-03-17,2.14,2.16,2.08,2.16,1389600,2.16
2011-03-16,2.17,2.18,2.15,2.17,864600,2.17
2011-03-15,2.19,2.20,2.17,2.17,825400,2.17
2011-03-14,2.19,2.21,2.19,2.19,679100,2.19
2011-03-11,2.19,2.20,2.19,2.19,385500,2.19
2011-03-10,2.23,2.25,2.19,2.20,455900,2.20
2011-03-09,2.24,2.26,2.24,2.25,297400,2.25
2011-03-08,2.22,2.25,2.22,2.24,450100,2.24
2011-03-07,2.23,2.25,2.22,2.24,387000,2.24
2011-03-04,2.24,2.25,2.22,2.25,232400,2.25
2011-03-03,2.23,2.25,2.22,2.23,525600,2.23
2011-03-02,2.21,2.24,2.21,2.23,678300,2.23
2011-03-01,2.22,2.25,2.21,2.23,1199300,2.23
2011-02-28,2.21,2.22,2.19,2.21,166900,2.21
2011-02-25,2.19,2.21,2.18,2.20,517000,2.20
2011-02-24,2.18,2.19,2.17,2.18,336700,2.18
2011-02-23,2.18,2.20,2.17,2.19,715300,2.19
2011-02-22,2.20,2.22,2.19,2.20,436500,2.20
2011-02-21,2.24,2.26,2.16,2.20,610000,2.20
2011-02-18,2.25,2.27,2.24,2.26,379200,2.26
2011-02-17,2.27,2.27,2.25,2.27,232200,2.27
2011-02-16,2.27,2.27,2.25,2.25,341400,2.25
2011-02-15,2.25,2.29,2.24,2.27,1288200,2.27
2011-02-14,2.29,2.29,2.26,2.27,402700,2.27
