Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,14.59,14.68,14.50,14.61,678400,14.61
2011-05-13,14.61,14.78,14.59,14.72,892400,14.72
2011-05-12,14.75,14.75,14.59,14.60,969500,14.60
2011-05-11,14.71,14.80,14.70,14.79,1691200,14.79
2011-05-10,14.74,14.76,14.66,14.69,1090600,14.69
2011-05-09,14.66,14.71,14.62,14.70,1199800,14.70
2011-05-06,14.67,14.72,14.57,14.65,2755200,14.65
2011-05-05,14.75,14.80,14.68,14.73,2651300,14.73
2011-05-04,14.56,14.78,14.54,14.75,1889600,14.75
2011-05-03,14.47,14.66,14.38,14.65,1544000,14.65
2011-05-02,14.56,14.56,14.30,14.49,1293200,14.49
2011-04-29,14.44,14.55,14.28,14.54,2057300,14.54
2011-04-28,14.43,14.49,14.38,14.45,998800,14.45
2011-04-27,14.21,14.41,14.21,14.41,1267100,14.41
2011-04-21,14.26,14.30,14.16,14.25,1130100,14.25
2011-04-20,14.10,14.19,14.03,14.17,856300,14.17
2011-04-19,14.20,14.20,14.00,14.02,1313000,14.02
2011-04-18,14.32,14.36,14.14,14.15,1263700,14.15
2011-04-15,14.32,14.36,14.18,14.26,2458400,14.26
2011-04-14,14.26,14.41,14.21,14.37,1395200,14.37
2011-04-13,14.28,14.39,14.11,14.15,1276200,14.15
2011-04-12,14.40,14.46,14.22,14.27,905000,14.27
2011-04-11,14.42,14.46,14.38,14.44,1273200,14.44
2011-04-08,14.29,14.44,14.22,14.38,1210600,14.38
2011-04-07,14.42,14.44,14.14,14.25,2071800,14.25
2011-04-06,14.26,14.38,14.15,14.38,1390100,14.38
2011-04-05,14.39,14.44,14.27,14.35,1041800,14.35
2011-04-04,14.38,14.40,14.32,14.37,768500,14.37
2011-04-01,14.32,14.42,14.32,14.36,1123300,14.36
2011-03-31,14.25,14.31,14.16,14.31,1104000,14.31
2011-03-30,14.14,14.40,14.11,14.31,1137500,14.31
2011-03-29,14.02,14.13,13.93,14.12,1124700,14.12
2011-03-28,13.96,14.14,13.96,14.07,524500,14.07
2011-03-25,14.01,14.22,14.00,14.11,1683400,14.11
2011-03-24,13.91,14.00,13.90,13.99,872400,13.99
2011-03-23,14.05,14.05,13.77,13.90,749600,13.90
2011-03-22,13.89,14.11,13.85,13.99,1780400,13.99
2011-03-21,13.80,13.80,13.60,13.73,1193700,13.73
2011-03-18,13.91,13.93,13.70,13.76,1565800,13.76
2011-03-17,13.87,13.99,13.81,13.91,2799700,13.91
2011-03-16,13.72,13.95,13.56,13.92,1872700,13.92
2011-03-15,13.96,14.00,13.57,13.69,1340400,13.69
2011-03-14,13.85,14.04,13.80,14.00,866800,14.00
2011-03-11,14.20,14.32,13.99,14.01,1709400,14.01
2011-03-10,14.41,14.48,14.22,14.22,1097500,14.22
2011-03-09,14.47,14.52,14.35,14.36,937600,14.36
2011-03-08,14.47,14.51,14.37,14.39,1313500,14.39
2011-03-07,14.60,14.61,14.47,14.49,865400,14.49
2011-03-04,14.70,14.71,14.62,14.67,799700,14.67
2011-03-03,14.62,14.66,14.56,14.63,892700,14.63
2011-03-02,14.57,14.71,14.57,14.71,1457200,14.71
2011-03-01,14.60,14.71,14.50,14.67,1373300,14.67
2011-02-28,14.61,14.61,14.42,14.53,476300,14.53
2011-02-25,14.59,14.62,14.48,14.52,1343700,14.52
2011-02-24,14.41,14.60,14.35,14.60,1305100,14.60
2011-02-23,14.60,14.60,14.46,14.46,2392300,14.46
2011-02-22,14.76,14.76,14.60,14.67,926900,14.67
2011-02-21,14.75,14.82,14.70,14.76,967300,14.76
2011-02-18,14.76,14.84,14.72,14.75,700800,14.75
2011-02-17,14.84,14.84,14.75,14.77,855900,14.77
2011-02-16,14.88,14.97,14.77,14.77,1079900,14.77
2011-02-15,14.93,14.96,14.82,14.95,798300,14.95
2011-02-14,14.89,14.98,14.82,14.90,770500,14.90
2011-02-11,14.82,14.95,14.78,14.84,868800,14.84
2011-02-10,14.83,14.89,14.73,14.78,742200,14.78
2011-02-09,14.93,14.96,14.82,14.84,1260200,14.84
2011-02-08,15.03,15.09,14.77,14.82,1578500,14.82
2011-02-07,14.65,15.05,14.61,15.01,1743700,15.01
2011-02-04,14.80,14.93,14.76,14.93,1165100,14.93
2011-02-03,14.69,14.75,14.51,14.70,1252300,14.70
2011-02-02,14.81,14.90,14.72,14.77,1120000,14.77
2011-02-01,14.89,14.94,14.78,14.79,1191900,14.79
2011-01-31,14.86,14.91,14.74,14.90,803200,14.90
2011-01-28,14.95,14.99,14.72,14.87,1624400,14.87
2011-01-27,15.08,15.11,14.98,14.98,1234100,14.98
2011-01-25,15.05,15.24,15.05,15.15,737400,15.15
2011-01-24,15.18,15.18,15.01,15.18,559000,15.18
2011-01-21,15.15,15.26,15.06,15.09,777600,15.09
2011-01-20,15.26,15.26,15.15,15.17,712400,15.17
2011-01-19,15.13,15.26,15.08,15.19,676100,15.19
2011-01-18,15.15,15.21,15.09,15.14,606200,15.14
2011-01-17,15.31,15.35,15.13,15.13,645900,15.13
2011-01-14,15.19,15.29,15.19,15.29,1265900,15.29
2011-01-13,15.25,15.29,15.17,15.29,768800,15.29
2011-01-12,15.19,15.20,15.08,15.15,1037500,15.15
2011-01-11,15.20,15.24,15.18,15.21,732600,15.21
