Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,3.59,3.59,3.51,3.56,5721800,3.56
2011-05-13,3.63,3.69,3.61,3.62,7518000,3.62
2011-05-12,3.52,3.59,3.49,3.57,7205800,3.57
2011-05-11,3.50,3.62,3.50,3.62,8484000,3.62
2011-05-10,3.51,3.55,3.42,3.42,6376800,3.42
2011-05-09,3.52,3.52,3.45,3.48,8468400,3.48
2011-05-06,3.39,3.40,3.31,3.35,17268400,3.35
2011-05-05,3.32,3.53,3.31,3.49,6571500,3.49
2011-05-04,3.37,3.41,3.31,3.38,3845700,3.38
2011-05-03,3.36,3.39,3.29,3.34,4321200,3.34
2011-05-02,3.50,3.53,3.31,3.42,5386900,3.42
2011-04-29,3.62,3.63,3.48,3.50,4328500,3.50
2011-04-28,3.74,3.77,3.63,3.65,3946400,3.65
2011-04-27,3.68,3.72,3.65,3.70,5599000,3.70
2011-04-21,3.64,3.70,3.63,3.64,5884400,3.64
2011-04-20,3.53,3.56,3.51,3.53,6209100,3.53
2011-04-19,3.55,3.59,3.45,3.45,7744400,3.45
2011-04-18,3.66,3.74,3.61,3.68,3621600,3.68
2011-04-15,3.70,3.74,3.65,3.65,2685900,3.65
2011-04-14,3.74,3.75,3.65,3.72,2884700,3.72
2011-04-13,3.64,3.78,3.59,3.74,5574900,3.74
2011-04-12,3.88,3.88,3.65,3.69,7211300,3.69
2011-04-11,3.86,3.91,3.85,3.90,7127400,3.90
2011-04-08,3.76,3.85,3.73,3.84,4262900,3.84
2011-04-07,3.83,3.88,3.77,3.78,3500100,3.78
2011-04-06,3.88,3.88,3.75,3.83,6014900,3.83
2011-04-05,3.89,3.91,3.86,3.88,7442700,3.88
2011-04-04,3.76,3.85,3.76,3.83,5634100,3.83
2011-04-01,3.73,3.73,3.68,3.70,3218500,3.70
2011-03-31,3.70,3.75,3.68,3.73,5656600,3.73
2011-03-30,3.56,3.68,3.54,3.66,6240700,3.66
2011-03-29,3.43,3.55,3.42,3.54,4109400,3.54
2011-03-28,3.51,3.55,3.46,3.47,2742500,3.47
2011-03-25,3.55,3.62,3.50,3.52,10412100,3.52
2011-03-24,3.24,3.48,3.24,3.47,10937600,3.47
2011-03-23,3.25,3.29,3.20,3.20,3558700,3.20
2011-03-22,3.30,3.32,3.21,3.22,9093000,3.22
2011-03-21,3.31,3.33,3.24,3.26,5771600,3.26
2011-03-18,3.29,3.32,3.26,3.32,12015900,3.32
2011-03-17,3.20,3.25,3.06,3.24,9759800,3.24
2011-03-16,3.16,3.36,3.12,3.22,12841500,3.22
2011-03-15,3.35,3.44,3.05,3.18,13834700,3.18
2011-03-14,3.34,3.41,3.24,3.41,5750800,3.41
2011-03-11,3.22,3.42,3.17,3.38,15045400,3.38
2011-03-10,3.52,3.55,3.27,3.34,20028600,3.34
2011-03-09,3.60,3.68,3.53,3.55,6368900,3.55
2011-03-08,3.66,3.69,3.58,3.60,12220000,3.60
2011-03-07,3.82,3.84,3.73,3.75,5601400,3.75
2011-03-04,3.88,3.90,3.84,3.87,4552400,3.87
2011-03-03,3.89,3.89,3.80,3.81,3888900,3.81
2011-03-02,3.83,3.85,3.81,3.83,3123000,3.83
2011-03-01,3.92,3.93,3.86,3.86,6149000,3.86
2011-02-28,3.97,4.00,3.85,3.85,3408700,3.85
2011-02-25,3.81,3.99,3.80,3.90,10519500,3.90
2011-02-24,3.73,3.89,3.67,3.84,4997300,3.84
2011-02-23,3.76,3.80,3.69,3.73,7800400,3.73
2011-02-22,3.96,3.96,3.72,3.85,16076100,3.85
2011-02-21,3.97,4.00,3.94,3.96,9870200,3.96
2011-02-18,3.97,3.97,3.91,3.97,4812300,3.97
2011-02-17,4.08,4.09,3.90,3.93,5499400,3.93
2011-02-16,3.90,4.07,3.90,4.04,12906400,4.04
2011-02-15,3.85,3.91,3.84,3.87,4299400,3.87
2011-02-14,3.81,3.85,3.75,3.84,9137900,3.84
2011-02-11,3.75,3.80,3.68,3.76,7213100,3.76
2011-02-10,3.70,3.73,3.64,3.71,8780100,3.71
2011-02-09,3.79,3.84,3.72,3.75,5494900,3.75
2011-02-08,3.80,3.86,3.68,3.79,12866500,3.79
2011-02-07,3.91,3.97,3.83,3.85,9791600,3.85
2011-02-04,3.70,3.90,3.70,3.89,14528700,3.89
2011-02-03,3.53,3.69,3.51,3.69,12805500,3.69
2011-02-02,3.42,3.48,3.40,3.46,10842000,3.46
2011-02-01,3.22,3.35,3.21,3.35,6713600,3.35
2011-01-31,3.17,3.21,3.15,3.19,3656900,3.19
2011-01-28,3.26,3.27,3.18,3.22,8320600,3.22
2011-01-27,3.20,3.26,3.19,3.23,6401600,3.23
2011-01-25,3.19,3.20,3.16,3.19,3503600,3.19
2011-01-24,3.16,3.16,3.16,3.16,2408000,3.16
2011-01-21,3.21,3.22,3.14,3.17,8111900,3.17
2011-01-20,3.40,3.40,3.26,3.26,9794300,3.26
2011-01-19,3.39,3.42,3.33,3.41,5219100,3.41
2011-01-18,3.22,3.34,3.22,3.32,5715800,3.32
2011-01-17,3.26,3.28,3.21,3.21,3892600,3.21
2011-01-14,3.34,3.34,3.27,3.29,3085400,3.29
2011-01-13,3.22,3.36,3.20,3.36,12406600,3.36
2011-01-12,3.05,3.18,3.05,3.17,6177400,3.17
