Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,1.57,1.58,1.55,1.56,9391600,1.56
2011-05-13,1.57,1.60,1.56,1.60,7074300,1.60
2011-05-12,1.58,1.59,1.53,1.54,18206600,1.54
2011-05-11,1.60,1.62,1.59,1.59,7148000,1.59
2011-05-10,1.62,1.62,1.59,1.59,7983400,1.59
2011-05-09,1.62,1.64,1.61,1.62,10164700,1.62
2011-05-06,1.60,1.62,1.59,1.60,17824600,1.60
2011-05-05,1.62,1.62,1.60,1.61,8069100,1.61
2011-05-04,1.61,1.62,1.59,1.61,7942800,1.61
2011-05-03,1.64,1.67,1.62,1.62,12335500,1.62
2011-05-02,1.62,1.65,1.61,1.64,11581800,1.64
2011-04-29,1.65,1.66,1.61,1.65,15735100,1.65
2011-04-28,1.66,1.68,1.65,1.66,13142600,1.66
2011-04-27,1.65,1.68,1.65,1.67,20316200,1.67
2011-04-21,1.65,1.66,1.63,1.64,9329700,1.64
2011-04-20,1.65,1.66,1.62,1.63,12594100,1.63
2011-04-19,1.62,1.64,1.61,1.62,10149500,1.62
2011-04-18,1.65,1.66,1.62,1.62,19171700,1.62
2011-04-15,1.68,1.70,1.63,1.64,17235300,1.64
2011-04-14,1.69,1.70,1.67,1.70,13576300,1.70
2011-04-13,1.70,1.70,1.66,1.69,13791000,1.69
2011-04-12,1.70,1.71,1.66,1.68,15301400,1.68
2011-04-11,1.72,1.72,1.68,1.70,11520300,1.70
2011-04-08,1.71,1.73,1.68,1.72,13563000,1.72
2011-04-07,1.77,1.77,1.71,1.72,19465900,1.72
2011-04-06,1.78,1.78,1.73,1.77,9200300,1.77
2011-04-05,1.76,1.79,1.75,1.78,8135300,1.78
2011-04-04,1.76,1.79,1.75,1.76,9609400,1.76
2011-04-01,1.73,1.76,1.72,1.75,10012600,1.75
2011-03-31,1.72,1.75,1.71,1.74,12847300,1.74
2011-03-30,1.69,1.75,1.69,1.73,14702600,1.73
2011-03-29,1.64,1.69,1.64,1.69,6905300,1.69
2011-03-28,1.65,1.68,1.64,1.66,6014900,1.66
2011-03-25,1.70,1.70,1.66,1.67,10462200,1.67
2011-03-24,1.68,1.70,1.66,1.68,7614200,1.68
2011-03-23,1.63,1.68,1.62,1.68,18094900,1.68
2011-03-22,1.62,1.64,1.62,1.63,12368100,1.63
2011-03-21,1.63,1.63,1.60,1.62,14468400,1.62
2011-03-18,1.62,1.63,1.60,1.62,11316200,1.62
2011-03-17,1.62,1.62,1.59,1.60,26677100,1.60
2011-03-16,1.64,1.66,1.60,1.63,15103200,1.63
2011-03-15,1.67,1.69,1.62,1.66,11913300,1.66
2011-03-14,1.65,1.70,1.64,1.70,8108100,1.70
2011-03-11,1.68,1.71,1.66,1.69,16048500,1.69
2011-03-10,1.72,1.73,1.69,1.71,19469900,1.71
2011-03-09,1.76,1.77,1.72,1.73,20702400,1.73
2011-03-08,1.75,1.76,1.74,1.75,12795900,1.75
2011-03-07,1.76,1.77,1.75,1.75,16636700,1.75
2011-03-04,1.75,1.77,1.74,1.76,15020600,1.76
2011-03-03,1.75,1.76,1.72,1.74,20457800,1.74
