Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,1.82,1.84,1.80,1.80,1087800,1.80
2011-05-13,1.84,1.85,1.83,1.85,1576100,1.85
2011-05-12,1.83,1.84,1.83,1.83,1982100,1.83
2011-05-11,1.86,1.88,1.84,1.84,1616100,1.84
2011-05-10,1.85,1.86,1.83,1.85,2085400,1.85
2011-05-09,1.85,1.85,1.83,1.85,505500,1.85
2011-05-06,1.81,1.85,1.80,1.83,1903500,1.83
2011-05-05,1.84,1.85,1.81,1.83,2533400,1.83
2011-05-04,1.86,1.88,1.82,1.83,2244300,1.83
2011-05-03,1.86,1.90,1.86,1.88,1036900,1.88
2011-05-02,1.88,1.90,1.86,1.89,1054800,1.89
2011-04-29,1.91,1.91,1.88,1.89,909100,1.89
2011-04-28,1.91,1.92,1.90,1.91,692700,1.91
2011-04-27,1.95,1.95,1.91,1.91,835200,1.91
2011-04-21,1.96,1.96,1.92,1.95,1072500,1.95
2011-04-20,1.88,1.91,1.87,1.91,757300,1.91
2011-04-19,1.89,1.90,1.87,1.88,1453400,1.88
2011-04-18,1.90,1.92,1.88,1.89,1767700,1.89
2011-04-15,1.89,1.91,1.89,1.89,979700,1.89
2011-04-14,1.92,1.92,1.88,1.90,1649300,1.90
2011-04-13,1.93,1.95,1.90,1.92,1938300,1.92
2011-04-12,1.94,1.96,1.92,1.92,746000,1.92
2011-04-11,1.95,1.98,1.95,1.95,1756300,1.95
2011-04-08,1.95,1.99,1.95,1.96,996900,1.96
2011-04-07,1.94,1.96,1.91,1.93,1644600,1.93
2011-04-06,1.95,1.96,1.93,1.95,997200,1.95
2011-04-05,1.95,1.98,1.93,1.95,2442200,1.95
2011-04-04,1.94,2.00,1.93,1.99,1455100,1.99
2011-04-01,1.89,1.94,1.89,1.94,879300,1.94
2011-03-31,1.93,1.93,1.90,1.91,696300,1.91
2011-03-30,1.88,1.93,1.88,1.93,922400,1.93
2011-03-29,1.89,1.91,1.88,1.91,916300,1.91
2011-03-28,1.89,1.92,1.88,1.89,527000,1.89
2011-03-25,1.90,1.92,1.88,1.91,829900,1.91
2011-03-24,1.88,1.90,1.87,1.89,1008500,1.89
2011-03-23,1.88,1.88,1.86,1.88,755100,1.88
2011-03-22,1.86,1.89,1.86,1.88,981900,1.88
2011-03-21,1.87,1.88,1.83,1.87,1333700,1.87
2011-03-18,1.87,1.89,1.84,1.88,1958600,1.88
2011-03-17,1.89,1.90,1.81,1.81,4864100,1.81
2011-03-16,1.92,1.93,1.86,1.89,3574800,1.89
2011-03-15,1.92,1.93,1.87,1.92,1767200,1.92
2011-03-14,1.93,1.96,1.91,1.94,1690100,1.94
2011-03-11,1.93,1.97,1.93,1.94,2352000,1.94
2011-03-10,1.97,1.97,1.94,1.96,1974100,1.96
2011-03-09,1.98,1.98,1.96,1.97,874800,1.97
2011-03-08,1.93,1.98,1.93,1.98,1145900,1.98
2011-03-07,1.95,1.97,1.95,1.95,1078100,1.95
2011-03-04,1.94,1.97,1.94,1.97,723500,1.97
2011-03-03,1.93,1.95,1.93,1.93,1439900,1.93
2011-03-02,1.96,1.96,1.93,1.94,1420200,1.94
2011-03-01,1.95,1.99,1.95,1.97,2126900,1.97
2011-02-28,1.95,1.96,1.93,1.95,537000,1.95
2011-02-25,1.95,1.96,1.91,1.93,2433400,1.93
2011-02-24,1.96,1.98,1.95,1.96,1013000,1.96
2011-02-23,1.97,1.99,1.95,1.96,1815300,1.96
2011-02-22,1.99,1.99,1.95,1.96,716100,1.96
2011-02-21,1.95,1.98,1.91,1.96,1509300,1.96
2011-02-18,1.95,1.96,1.95,1.95,814200,1.95
2011-02-17,1.93,1.97,1.92,1.95,1261000,1.95
2011-02-16,1.95,1.97,1.91,1.92,1052200,1.92
2011-02-15,1.95,1.98,1.95,1.96,867400,1.96
2011-02-14,1.97,1.97,1.95,1.96,683100,1.96
2011-02-11,1.97,1.97,1.95,1.96,635500,1.96
2011-02-10,1.99,2.00,1.95,1.97,717600,1.97
2011-02-09,1.98,2.00,1.95,1.99,1876200,1.99
2011-02-08,1.98,2.00,1.97,2.00,1189300,2.00
2011-02-07,1.96,1.98,1.96,1.98,734000,1.98
2011-02-04,1.94,1.97,1.94,1.97,988100,1.97
2011-02-03,1.95,1.97,1.93,1.93,2450000,1.93
2011-02-02,1.92,1.95,1.91,1.95,1747600,1.95
2011-02-01,1.89,1.91,1.89,1.91,1038100,1.91
2011-01-31,1.89,1.90,1.88,1.89,682500,1.89
2011-01-28,1.91,1.93,1.91,1.92,496500,1.92
2011-01-27,1.90,1.92,1.89,1.91,788300,1.91
2011-01-25,1.88,1.93,1.88,1.92,1492500,1.92
2011-01-24,1.88,1.90,1.85,1.88,794700,1.88
2011-01-21,1.90,1.93,1.86,1.86,1183200,1.86
2011-01-20,1.89,1.92,1.89,1.90,1219400,1.90
2011-01-19,1.90,1.90,1.88,1.89,1262100,1.89
2011-01-18,1.88,1.90,1.88,1.90,947500,1.90
2011-01-17,1.93,1.93,1.88,1.88,659800,1.88
2011-01-14,1.91,1.92,1.90,1.91,571700,1.91
2011-01-13,1.88,1.90,1.88,1.90,408100,1.90
2011-01-12,1.90,1.90,1.87,1.87,929400,1.87
2011-01-11,1.89,1.89,1.88,1.88,709100,1.88
2011-01-10,1.90,1.90,1.89,1.90,713100,1.90
2011-01-07,1.89,1.92,1.89,1.90,917000,1.90
2011-01-06,1.88,1.91,1.87,1.91,1942200,1.91
2011-01-05,1.87,1.89,1.87,1.88,1102600,1.88
2011-01-04,1.88,1.89,1.87,1.88,1053300,1.88
2010-12-31,1.89,1.90,1.88,1.88,349500,1.88
2010-12-30,1.90,1.90,1.88,1.89,412000,1.89
2010-12-29,1.87,1.88,1.86,1.88,855000,1.88
2010-12-24,1.90,1.90,1.88,1.88,433700,1.88
2010-12-23,1.90,1.92,1.86,1.89,890000,1.89
2010-12-22,1.93,1.94,1.91,1.92,2455800,1.92
2010-12-21,1.92,1.94,1.92,1.93,2123700,1.93
2010-12-20,1.93,1.94,1.92,1.93,825000,1.93
2010-12-17,1.95,1.95,1.93,1.93,735900,1.93
2010-12-16,1.95,1.95,1.93,1.95,3468500,1.95
2010-12-15,1.94,1.95,1.93,1.94,1522900,1.94
2010-12-14,1.94,1.95,1.93,1.94,1368600,1.94
2010-12-13,1.94,1.95,1.93,1.94,2067500,1.94
2010-12-10,1.95,1.96,1.92,1.92,2917500,1.92
2010-12-09,1.96,1.97,1.95,1.95,1144700,1.95
2010-12-08,1.94,1.96,1.92,1.94,1997900,1.94
2010-12-07,1.94,1.98,1.91,1.97,1022100,1.97
2010-12-06,1.93,1.95,1.92,1.94,2208700,1.94
2010-12-03,1.93,1.95,1.92,1.93,695800,1.93
2010-12-02,1.91,1.93,1.90,1.93,1522700,1.93
2010-12-01,1.89,1.94,1.88,1.89,1155100,1.89
2010-11-30,1.91,1.95,1.90,1.92,1778100,1.92
