Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,2.66,2.69,2.65,2.69,1067400,2.69
2011-05-13,2.70,2.74,2.68,2.71,2627500,2.71
2011-05-12,2.70,2.73,2.69,2.71,2104300,2.71
2011-05-11,2.79,2.79,2.70,2.74,2578500,2.74
2011-05-10,2.72,2.80,2.70,2.79,5135900,2.79
2011-05-09,2.73,2.76,2.68,2.72,4501700,2.72
2011-05-06,2.64,2.73,2.61,2.71,4172300,2.71
2011-05-05,2.68,2.69,2.57,2.65,2980100,2.65
2011-05-04,2.73,2.74,2.65,2.69,3135500,2.69
2011-05-03,2.70,2.76,2.68,2.73,4098100,2.73
2011-05-02,2.77,2.78,2.62,2.73,4309300,2.73
2011-04-29,2.64,2.65,2.53,2.62,3053300,2.62
2011-04-28,2.73,2.75,2.62,2.64,2582500,2.64
2011-04-27,2.81,2.81,2.72,2.74,1991500,2.74
2011-04-21,2.82,2.83,2.77,2.81,1375700,2.81
2011-04-20,2.84,2.86,2.73,2.78,2591500,2.78
2011-04-19,2.88,2.90,2.77,2.79,2373200,2.79
2011-04-18,2.91,2.94,2.90,2.90,1627400,2.90
2011-04-15,2.96,3.00,2.93,2.96,1635800,2.96
2011-04-14,2.99,2.99,2.87,2.92,2919200,2.92
2011-04-13,2.96,3.00,2.92,2.99,3092100,2.99
2011-04-12,3.01,3.01,2.82,2.96,5088300,2.96
2011-04-11,3.22,3.22,3.08,3.08,2051500,3.08
2011-04-08,3.25,3.29,3.17,3.21,2486600,3.21
2011-04-07,3.16,3.30,3.15,3.23,2239800,3.23
2011-04-06,3.17,3.19,3.11,3.14,2772400,3.14
2011-04-05,3.19,3.26,3.17,3.22,2798300,3.22
2011-04-04,3.21,3.25,3.19,3.21,1427900,3.21
2011-04-01,3.20,3.22,3.18,3.20,2477000,3.20
2011-03-31,3.25,3.28,3.17,3.25,2383100,3.25
2011-03-30,3.23,3.27,3.21,3.23,2009000,3.23
2011-03-29,3.22,3.25,3.22,3.22,846000,3.22
2011-03-28,3.17,3.25,3.17,3.25,914000,3.25
2011-03-25,3.22,3.23,3.13,3.21,2138400,3.21
2011-03-24,3.22,3.22,3.16,3.19,1515500,3.19
