Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,3.20,3.23,3.10,3.12,74600,3.12
2011-05-13,3.21,3.24,3.16,3.22,91200,3.22
2011-05-12,3.14,3.26,3.14,3.26,193600,3.26
2011-05-11,3.18,3.20,3.13,3.17,185600,3.17
2011-05-10,3.10,3.20,3.10,3.15,196800,3.15
2011-05-09,3.21,3.25,3.13,3.19,249300,3.19
2011-05-06,3.25,3.29,3.21,3.23,43400,3.23
2011-05-05,3.26,3.30,3.21,3.30,161300,3.30
2011-05-04,3.29,3.30,3.21,3.30,294800,3.30
2011-05-03,3.25,3.29,3.21,3.26,154500,3.26
2011-05-02,3.25,3.29,3.24,3.25,244500,3.25
2011-04-29,3.30,3.32,3.21,3.26,471500,3.26
2011-04-28,3.35,3.35,3.28,3.29,111300,3.29
2011-04-27,3.30,3.35,3.27,3.33,284300,3.33
2011-04-21,3.30,3.30,3.26,3.27,72400,3.27
2011-04-20,3.30,3.30,3.26,3.30,35400,3.30
2011-04-19,3.22,3.29,3.22,3.27,52900,3.27
2011-04-18,3.23,3.29,3.23,3.25,63800,3.25
2011-04-15,3.27,3.27,3.21,3.23,94500,3.23
2011-04-14,3.25,3.27,3.24,3.27,133900,3.27
2011-04-13,3.27,3.28,3.23,3.27,258700,3.27
2011-04-12,3.25,3.28,3.21,3.28,1356200,3.28
2011-04-11,3.29,3.37,3.23,3.25,661500,3.25
2011-04-08,3.14,3.26,3.12,3.24,1651300,3.24
2011-04-07,3.16,3.19,3.11,3.14,268600,3.14
2011-04-06,3.17,3.20,3.12,3.18,1633500,3.18
2011-04-05,3.23,3.23,3.11,3.16,213600,3.16
2011-04-04,3.19,3.25,3.19,3.23,266600,3.23
2011-04-01,3.20,3.23,3.14,3.23,611000,3.23
2011-03-31,3.15,3.20,3.14,3.20,330100,3.20
2011-03-30,3.18,3.18,3.12,3.15,210200,3.15
2011-03-29,3.12,3.19,3.10,3.15,256200,3.15
2011-03-28,3.22,3.23,3.17,3.17,168500,3.17
2011-03-25,3.17,3.24,3.17,3.23,148700,3.23
2011-03-24,3.21,3.24,3.18,3.23,331800,3.23
2011-03-23,3.28,3.28,3.18,3.22,397500,3.22
2011-03-22,3.23,3.25,3.19,3.23,277700,3.23
2011-03-21,3.20,3.30,3.15,3.21,619400,3.21
2011-03-18,3.08,3.20,3.05,3.20,3933600,3.20
2011-03-17,3.11,3.12,3.05,3.08,877100,3.08
2011-03-16,3.10,3.12,3.01,3.10,507600,3.10
2011-03-15,3.19,3.19,2.93,3.09,687600,3.09
2011-03-14,3.05,3.19,3.05,3.13,300200,3.13
2011-03-11,3.26,3.28,3.18,3.22,778400,3.22
2011-03-10,3.30,3.30,3.24,3.26,778500,3.26
2011-03-09,3.30,3.32,3.25,3.27,489100,3.27
2011-03-08,3.24,3.34,3.24,3.29,559700,3.29
2011-03-07,3.29,3.30,3.23,3.24,342700,3.24
2011-03-04,3.24,3.28,3.17,3.28,652000,3.28
2011-03-03,3.15,3.25,3.13,3.24,285600,3.24
2011-03-02,3.11,3.20,3.10,3.20,298900,3.20
2011-03-01,3.17,3.22,3.16,3.20,421300,3.20
2011-02-28,3.19,3.19,3.14,3.18,62700,3.18
2011-02-25,3.20,3.22,3.14,3.19,252200,3.19
2011-02-24,3.10,3.17,3.10,3.14,254700,3.14
2011-02-23,3.04,3.14,3.04,3.12,119400,3.12
2011-02-22,3.11,3.16,3.10,3.11,341400,3.11
2011-02-21,3.17,3.22,3.10,3.15,478200,3.15
2011-02-18,3.35,3.43,3.28,3.30,250300,3.30
2011-02-17,3.42,3.42,3.36,3.40,216500,3.40
2011-02-16,3.38,3.41,3.33,3.39,204100,3.39
2011-02-15,3.39,3.40,3.31,3.38,431200,3.38
2011-02-14,3.52,3.63,3.48,3.52,298700,3.52
2011-02-11,3.43,3.46,3.41,3.44,166400,3.44
2011-02-10,3.33,3.48,3.33,3.45,308000,3.45
2011-02-09,3.47,3.48,3.37,3.43,405100,3.43
2011-02-08,3.40,3.58,3.39,3.46,519600,3.46
2011-02-07,3.29,3.52,3.27,3.47,620400,3.47
2011-02-04,3.25,3.30,3.20,3.30,312800,3.30
2011-02-03,3.24,3.29,3.14,3.27,261800,3.27
2011-02-02,3.30,3.30,3.23,3.26,334300,3.26
2011-02-01,3.30,3.34,3.24,3.27,522300,3.27
2011-01-31,3.30,3.30,3.19,3.28,630200,3.28
2011-01-28,3.22,3.36,3.22,3.27,858800,3.27
2011-01-27,2.87,3.10,2.87,3.10,705900,3.10
2011-01-25,2.86,2.91,2.85,2.90,360800,2.90
2011-01-24,2.87,2.90,2.87,2.87,165300,2.87
2011-01-21,2.85,2.96,2.80,2.90,997900,2.90
2011-01-20,2.79,2.86,2.76,2.81,605500,2.81
2011-01-19,2.75,2.88,2.73,2.80,353800,2.80
2011-01-18,2.78,2.78,2.70,2.74,222100,2.74
2011-01-17,2.80,2.82,2.75,2.76,449600,2.76
2011-01-14,2.70,2.77,2.67,2.77,443700,2.77
2011-01-13,2.60,2.70,2.59,2.69,723100,2.69
2011-01-12,2.58,2.59,2.51,2.58,241100,2.58
2011-01-11,2.51,2.58,2.48,2.57,197200,2.57
2011-01-10,2.58,2.58,2.51,2.51,106500,2.51
2011-01-07,2.68,2.68,2.58,2.58,174800,2.58
2011-01-06,2.66,2.67,2.63,2.65,117400,2.65
2011-01-05,2.67,2.69,2.66,2.66,239900,2.66
2011-01-04,2.67,2.72,2.66,2.67,202200,2.67
2010-12-31,2.67,2.71,2.67,2.68,50400,2.68
2010-12-30,2.70,2.72,2.67,2.67,133000,2.67
2010-12-29,2.67,2.70,2.67,2.68,52800,2.68
2010-12-24,2.70,2.70,2.68,2.68,38000,2.68
2010-12-23,2.75,2.75,2.67,2.69,117300,2.69
2010-12-22,2.62,2.72,2.62,2.70,230000,2.70
2010-12-21,2.65,2.70,2.62,2.63,215600,2.63
2010-12-20,2.71,2.73,2.56,2.67,657800,2.67
2010-12-17,2.70,2.73,2.66,2.72,517700,2.72
2010-12-16,2.71,2.73,2.70,2.70,493700,2.70
2010-12-15,2.61,2.76,2.61,2.70,1201200,2.70
2010-12-14,2.57,2.61,2.55,2.60,111500,2.60
2010-12-13,2.59,2.62,2.56,2.59,498700,2.59
2010-12-10,2.60,2.60,2.56,2.59,298900,2.59
2010-12-09,2.58,2.63,2.56,2.59,504300,2.59
2010-12-08,2.45,2.68,2.40,2.63,723500,2.63
2010-12-07,2.48,2.49,2.43,2.49,222400,2.49
2010-12-06,2.39,2.50,2.38,2.48,396400,2.48
2010-12-03,2.34,2.40,2.34,2.38,140600,2.38
2010-12-02,2.35,2.39,2.32,2.34,897600,2.34
2010-12-01,2.31,2.38,2.31,2.35,157300,2.35
2010-11-30,2.35,2.42,2.35,2.39,366300,2.39
2010-11-29,2.35,2.41,2.35,2.41,284200,2.41
2010-11-26,2.36,2.40,2.36,2.38,259800,2.38
2010-11-25,2.40,2.44,2.36,2.38,479100,2.38
2010-11-24,2.42,2.44,2.36,2.39,578600,2.39
2010-11-23,2.35,2.45,2.34,2.43,1422400,2.43
2010-11-22,2.36,2.39,2.33,2.39,309200,2.39
2010-11-19,2.33,2.34,2.32,2.33,180300,2.33
2010-11-18,2.32,2.33,2.30,2.31,335000,2.31
2010-11-17,2.31,2.33,2.30,2.32,227500,2.32
2010-11-16,2.29,2.34,2.27,2.33,211900,2.33
2010-11-15,2.31,2.31,2.26,2.29,186300,2.29
2010-11-12,2.35,2.37,2.31,2.31,269500,2.31
2010-11-11,2.41,2.43,2.32,2.36,434700,2.36
2010-11-10,2.45,2.46,2.41,2.41,963400,2.41
2010-11-09,2.45,2.51,2.45,2.46,607800,2.46
2010-11-08,2.49,2.50,2.45,2.47,714600,2.47
2010-11-05,2.46,2.50,2.43,2.50,466300,2.50
2010-11-04,2.50,2.50,2.47,2.49,109700,2.49
2010-11-03,2.48,2.49,2.46,2.49,242400,2.49
2010-11-02,2.48,2.49,2.43,2.46,141100,2.46
2010-11-01,2.43,2.52,2.43,2.49,965300,2.49
2010-10-29,2.42,2.49,2.41,2.49,259700,2.49
2010-10-28,2.50,2.51,2.43,2.45,134100,2.45
2010-10-27,2.50,2.55,2.47,2.47,339700,2.47
2010-10-26,2.50,2.52,2.48,2.50,326900,2.50
2010-10-25,2.50,2.55,2.44,2.52,216800,2.52
2010-10-22,2.42,2.49,2.40,2.49,253500,2.49
2010-10-21,2.44,2.48,2.40,2.44,229400,2.44
2010-10-20,2.46,2.47,2.40,2.42,99600,2.42
2010-10-19,2.47,2.51,2.46,2.49,238100,2.49
2010-10-18,2.55,2.57,2.42,2.44,174900,2.44
2010-10-15,2.56,2.58,2.49,2.54,148200,2.54
2010-10-14,2.52,2.59,2.51,2.59,508000,2.59
2010-10-13,2.51,2.56,2.48,2.53,466800,2.53
2010-10-12,2.50,2.57,2.46,2.47,471000,2.47
2010-10-11,2.46,2.53,2.46,2.50,474200,2.50
2010-10-08,2.44,2.47,2.44,2.46,130900,2.46
2010-10-07,2.48,2.49,2.45,2.46,240100,2.46
2010-10-06,2.49,2.54,2.44,2.49,411600,2.49
2010-10-05,2.51,2.52,2.44,2.46,259900,2.46
2010-10-04,2.57,2.60,2.51,2.51,153700,2.51
2010-10-01,2.69,2.69,2.55,2.57,305300,2.57
2010-09-30,2.69,2.72,2.65,2.65,248200,2.65
2010-09-29,2.72,2.76,2.68,2.69,190900,2.69
2010-09-28,2.65,2.70,2.65,2.70,210300,2.70
2010-09-27,2.69,2.70,2.65,2.68,695600,2.68
2010-09-24,2.65,2.69,2.65,2.66,608200,2.66
2010-09-23,2.69,2.72,2.65,2.70,625100,2.70
2010-09-22,2.84,2.90,2.76,2.76,357500,2.76
2010-09-21,2.92,2.92,2.73,2.83,374800,2.83
2010-09-20,2.88,2.92,2.86,2.90,137200,2.90
2010-09-17,2.96,3.00,2.86,2.92,229300,2.92
2010-09-16,2.96,3.01,2.94,2.96,408600,2.96
2010-09-15,2.92,3.03,2.92,2.98,571000,2.98
2010-09-14,2.88,2.91,2.83,2.90,735100,2.90
2010-09-13,2.87,2.89,2.84,2.89,638300,2.89
2010-09-10,2.83,2.86,2.83,2.83,118100,2.83
2010-09-09,2.89,2.89,2.83,2.86,112600,2.86
2010-09-08,2.90,2.90,2.86,2.88,95100,2.88
2010-09-07,2.91,2.91,2.86,2.90,167400,2.90
2010-09-06,2.89,2.92,2.85,2.92,173800,2.92
