Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,2.87,2.92,2.87,2.90,433600,2.90
2011-05-13,2.86,2.90,2.82,2.90,1431100,2.90
2011-05-12,2.91,2.93,2.86,2.86,708500,2.86
2011-05-11,3.01,3.01,2.93,2.93,780100,2.93
2011-05-10,3.04,3.04,2.98,2.98,700100,2.98
2011-05-09,3.01,3.07,3.00,3.03,1119500,3.03
2011-05-06,2.99,3.05,2.97,2.98,508200,2.98
2011-05-05,3.02,3.03,2.97,3.02,1066200,3.02
2011-05-04,3.01,3.04,3.00,3.02,1373100,3.02
2011-05-03,2.99,3.04,2.98,3.04,516800,3.04
2011-05-02,3.02,3.03,2.89,3.02,587000,3.02
2011-04-29,3.05,3.06,2.99,3.03,607400,3.03
2011-04-28,3.08,3.09,3.00,3.03,842900,3.03
2011-04-27,3.09,3.20,3.05,3.05,1075500,3.05
2011-04-21,3.08,3.09,3.03,3.05,749600,3.05
2011-04-20,3.03,3.05,3.03,3.05,502200,3.05
2011-04-19,3.00,3.04,3.00,3.03,615800,3.03
2011-04-18,3.03,3.05,3.02,3.03,757700,3.03
2011-04-15,3.05,3.05,3.03,3.03,415700,3.03
2011-04-14,3.04,3.05,3.03,3.04,402200,3.04
2011-04-13,2.98,3.04,2.98,3.04,669700,3.04
2011-04-12,3.00,3.03,2.96,2.99,1221200,2.99
2011-04-11,3.04,3.05,3.00,3.03,582600,3.03
2011-04-08,3.02,3.07,3.00,3.04,1115100,3.04
2011-04-07,3.08,3.09,3.03,3.05,871400,3.05
2011-04-06,3.02,3.07,3.01,3.05,230800,3.05
2011-04-05,3.10,3.10,3.06,3.06,627000,3.06
2011-04-04,3.05,3.12,3.05,3.08,356500,3.08
2011-04-01,3.06,3.09,3.04,3.04,363800,3.04
2011-03-31,3.08,3.09,3.04,3.06,1028700,3.06
2011-03-30,3.08,3.10,3.05,3.07,932300,3.07
2011-03-29,3.08,3.08,3.04,3.05,582400,3.05
2011-03-28,3.00,3.08,3.00,3.06,326200,3.06
2011-03-25,3.00,3.05,2.99,3.04,1222800,3.04
2011-03-24,2.94,2.97,2.94,2.97,312300,2.97
2011-03-23,2.98,2.99,2.96,2.98,563600,2.98
2011-03-22,2.90,2.97,2.90,2.95,4033200,2.95
2011-03-21,2.93,2.99,2.90,2.99,1015500,2.99
2011-03-18,3.00,3.00,2.86,2.94,1140700,2.94
2011-03-17,2.89,2.99,2.85,2.91,2103100,2.91
2011-03-16,2.87,2.91,2.82,2.91,2271800,2.91
2011-03-15,3.01,3.01,2.87,2.94,836500,2.94
2011-03-14,3.03,3.03,2.96,2.97,821600,2.97
2011-03-11,3.02,3.06,3.02,3.04,1947600,3.04
2011-03-10,3.03,3.09,3.02,3.03,542500,3.03
2011-03-09,3.04,3.07,3.02,3.06,1118400,3.06
2011-03-08,3.03,3.05,3.02,3.04,1111000,3.04
2011-03-07,3.15,3.16,3.06,3.06,864500,3.06
2011-03-04,3.11,3.12,3.08,3.12,472500,3.12
2011-03-03,3.07,3.11,3.04,3.08,540200,3.08
2011-03-02,3.02,3.10,3.02,3.10,779200,3.10
2011-03-01,3.08,3.12,3.07,3.07,686400,3.07
2011-02-28,3.08,3.12,3.07,3.11,708600,3.11
2011-02-25,3.06,3.08,3.04,3.07,476800,3.07
2011-02-24,3.02,3.06,3.02,3.06,650100,3.06
2011-02-23,3.00,3.04,2.99,3.03,1146000,3.03
2011-02-22,3.05,3.06,2.99,3.01,1373500,3.01
2011-02-21,3.07,3.08,3.03,3.05,866400,3.05
2011-02-18,3.06,3.13,3.06,3.10,841000,3.10
2011-02-17,3.08,3.17,3.07,3.12,2670900,3.12
2011-02-16,2.98,3.06,2.97,3.06,2269300,3.06
2011-02-15,2.96,3.00,2.96,2.98,2960700,2.98
2011-02-14,2.96,2.97,2.92,2.97,1097900,2.97
2011-02-11,2.94,2.97,2.92,2.95,385000,2.95
2011-02-10,2.96,2.98,2.96,2.96,1179100,2.96
2011-02-09,2.94,2.99,2.94,2.98,1431600,2.98
2011-02-08,2.94,2.96,2.91,2.96,371500,2.96
2011-02-07,2.94,2.94,2.89,2.94,337000,2.94
2011-02-04,2.94,2.95,2.90,2.94,886500,2.94
2011-02-03,2.88,2.96,2.88,2.95,251300,2.95
2011-02-02,2.90,2.95,2.85,2.95,512000,2.95
2011-02-01,2.90,2.90,2.85,2.87,708900,2.87
2011-01-31,2.93,2.93,2.88,2.91,570900,2.91
2011-01-28,2.93,2.96,2.93,2.93,444000,2.93
2011-01-27,2.94,2.97,2.93,2.96,492300,2.96
2011-01-25,2.94,2.96,2.93,2.95,562300,2.95
2011-01-24,2.93,2.93,2.92,2.93,737800,2.93
2011-01-21,2.94,2.95,2.89,2.92,1070400,2.92
2011-01-20,2.94,2.95,2.92,2.94,309000,2.94
2011-01-19,2.92,2.94,2.91,2.94,609600,2.94
2011-01-18,2.89,2.94,2.89,2.92,509100,2.92
2011-01-17,2.91,2.95,2.89,2.91,366100,2.91
2011-01-14,2.90,2.93,2.89,2.90,122700,2.90
2011-01-13,2.89,2.93,2.87,2.92,338600,2.92
2011-01-12,2.80,2.90,2.80,2.88,592200,2.88
2011-01-11,2.80,2.83,2.80,2.82,4219200,2.82
