Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,6.76,6.87,6.75,6.80,2126200,6.80
2011-05-13,6.89,6.90,6.83,6.89,3562500,6.89
2011-05-12,6.95,6.97,6.89,6.90,5850000,6.90
2011-05-11,6.96,6.98,6.93,6.97,2273400,6.97
2011-05-10,6.96,7.03,6.90,6.92,3398800,6.92
2011-05-09,6.98,6.99,6.91,6.95,3358700,6.95
2011-05-06,6.99,7.02,6.95,7.00,4833900,7.00
2011-05-05,7.01,7.07,7.00,7.05,4735700,7.05
2011-05-04,7.06,7.08,7.00,7.05,5277700,7.05
2011-05-03,6.99,7.09,6.93,7.01,7843200,7.01
2011-05-02,7.03,7.04,6.92,6.95,2791800,6.95
2011-04-29,7.06,7.07,6.96,7.00,9445500,7.00
2011-04-28,7.06,7.11,6.99,7.03,3996300,7.03
2011-04-27,7.14,7.14,7.04,7.06,3442600,7.06
2011-04-21,7.10,7.14,7.05,7.12,6729800,7.12
2011-04-20,7.03,7.08,7.00,7.08,4698900,7.08
2011-04-19,7.01,7.06,6.99,7.01,7969200,7.01
2011-04-18,7.10,7.13,7.02,7.04,7027700,7.04
2011-04-15,7.17,7.20,7.13,7.13,2757500,7.13
2011-04-14,7.23,7.25,7.12,7.15,4729600,7.15
2011-04-13,7.30,7.34,7.26,7.27,5990300,7.27
2011-04-12,7.32,7.39,7.27,7.27,5810100,7.27
2011-04-11,7.36,7.37,7.30,7.36,8988800,7.36
2011-04-08,7.35,7.41,7.34,7.38,7039300,7.38
2011-04-07,7.33,7.43,7.30,7.36,8573600,7.36
2011-04-06,7.25,7.30,7.22,7.27,3564400,7.27
2011-04-05,7.23,7.26,7.13,7.25,3237300,7.25
2011-04-04,7.30,7.31,7.18,7.22,2663100,7.22
2011-04-01,7.13,7.29,7.09,7.27,5803800,7.27
2011-03-31,7.04,7.08,7.02,7.06,6412600,7.06
2011-03-30,7.05,7.09,7.02,7.08,7102400,7.08
2011-03-29,7.06,7.06,7.00,7.05,7767600,7.05
2011-03-28,6.91,7.02,6.91,7.00,2654300,7.00
2011-03-25,7.00,7.03,6.89,6.96,4664500,6.96
2011-03-24,6.99,7.00,6.93,6.98,4121200,6.98
2011-03-23,6.97,7.06,6.94,6.97,7034400,6.97
2011-03-22,6.99,7.02,6.96,7.00,7248800,7.00
2011-03-21,6.99,6.99,6.91,6.96,2938900,6.96
2011-03-18,6.80,7.00,6.73,6.97,8401900,6.97
2011-03-17,6.75,6.81,6.65,6.77,8123000,6.77
2011-03-16,6.77,6.81,6.69,6.75,6271300,6.75
2011-03-15,6.81,6.83,6.57,6.70,4157700,6.70
2011-03-14,6.82,6.87,6.76,6.81,3081400,6.81
2011-03-11,6.94,6.97,6.84,6.87,6678900,6.87
2011-03-10,6.99,7.02,6.95,6.98,6415500,6.98
2011-03-09,7.09,7.09,6.97,6.99,4437300,6.99
2011-03-08,6.94,7.08,6.93,7.04,8766600,7.04
2011-03-07,6.99,6.99,6.90,6.93,2463800,6.93
2011-03-04,7.03,7.08,6.99,7.03,2977700,7.03
2011-03-03,7.00,7.02,6.93,6.99,2412700,6.99
2011-03-02,6.97,7.02,6.88,6.99,4153200,6.99
2011-03-01,6.99,7.09,6.97,6.98,6227200,6.98
2011-02-28,6.98,6.98,6.84,6.92,3431600,6.92
2011-02-25,7.06,7.09,6.94,7.09,5943000,7.09
2011-02-24,7.08,7.12,6.99,7.03,6700600,7.03
2011-02-23,7.00,7.18,7.00,7.11,9335000,7.11
2011-02-22,6.92,7.04,6.90,6.99,8762900,6.99
2011-02-21,6.77,6.97,6.77,6.85,8168000,6.85
2011-02-18,6.66,6.82,6.66,6.72,2681400,6.72
2011-02-17,6.71,6.71,6.66,6.68,3204600,6.68
2011-02-16,6.70,6.77,6.68,6.71,3641100,6.71
2011-02-15,6.72,6.74,6.64,6.69,3541800,6.69
2011-02-14,6.69,6.76,6.67,6.75,4007800,6.75
2011-02-11,6.58,6.70,6.56,6.63,3858500,6.63
2011-02-10,6.68,6.69,6.58,6.60,3510700,6.60
2011-02-09,6.68,6.70,6.64,6.66,3807200,6.66
2011-02-08,6.77,6.78,6.64,6.66,3627800,6.66
2011-02-07,6.75,6.77,6.68,6.71,2026400,6.71
2011-02-04,6.73,6.76,6.71,6.74,3674500,6.74
2011-02-03,6.76,6.79,6.72,6.72,2779100,6.72
2011-02-02,6.93,6.93,6.77,6.79,2679700,6.79
2011-02-01,6.83,6.90,6.81,6.83,2299900,6.83
2011-01-31,6.87,6.93,6.86,6.88,3348900,6.88
2011-01-28,6.89,6.99,6.87,6.99,7115200,6.99
2011-01-27,6.83,6.87,6.82,6.85,3228100,6.85
2011-01-25,6.94,6.96,6.82,6.84,4334800,6.84
2011-01-24,6.91,6.95,6.91,6.91,3280900,6.91
2011-01-21,6.90,6.90,6.77,6.82,2350300,6.82
2011-01-20,6.84,6.84,6.73,6.76,1846700,6.76
