Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,5.18,5.20,5.15,5.17,6336200,5.17
2011-05-13,5.26,5.27,5.20,5.25,6061600,5.25
2011-05-12,5.29,5.29,5.24,5.24,9207100,5.24
2011-05-11,5.29,5.34,5.26,5.33,12738800,5.33
2011-05-10,5.28,5.32,5.21,5.22,6977600,5.22
2011-05-09,5.35,5.36,5.28,5.28,13120400,5.28
2011-05-06,5.18,5.29,5.14,5.29,22930100,5.29
2011-05-05,5.27,5.28,5.20,5.21,26116000,5.21
2011-05-04,5.39,5.39,5.26,5.29,13699900,5.29
2011-05-03,5.42,5.42,5.32,5.39,11087500,5.39
2011-05-02,5.48,5.48,5.38,5.47,10593200,5.47
2011-04-29,5.52,5.53,5.40,5.48,20380500,5.48
2011-04-28,5.59,5.62,5.49,5.54,7373500,5.54
2011-04-27,5.68,5.68,5.55,5.60,10310000,5.60
2011-04-21,5.60,5.68,5.58,5.61,9978900,5.61
2011-04-20,5.56,5.58,5.52,5.56,10101900,5.56
2011-04-19,5.59,5.60,5.51,5.53,8568600,5.53
2011-04-18,5.70,5.70,5.64,5.65,7761500,5.65
2011-04-15,5.70,5.70,5.64,5.64,7058200,5.64
2011-04-14,5.68,5.72,5.58,5.66,10193300,5.66
2011-04-13,5.69,5.75,5.65,5.69,10125300,5.69
2011-04-12,5.75,5.82,5.66,5.70,39008700,5.70
2011-04-11,5.71,5.81,5.70,5.78,18410100,5.78
2011-04-08,5.62,5.72,5.61,5.69,23356300,5.69
2011-04-07,5.64,5.65,5.57,5.59,11632600,5.59
2011-04-06,5.63,5.64,5.59,5.62,12832600,5.62
2011-04-05,5.57,5.66,5.56,5.64,12927800,5.64
2011-04-04,5.55,5.62,5.54,5.60,17767200,5.60
2011-04-01,5.42,5.55,5.42,5.54,30762000,5.54
2011-03-31,5.46,5.49,5.39,5.43,50384900,5.43
2011-03-30,5.40,5.54,5.37,5.47,14637000,5.47
2011-03-29,5.32,5.38,5.31,5.37,12507800,5.37
2011-03-28,5.39,5.42,5.32,5.33,7281600,5.33
2011-03-25,5.36,5.42,5.34,5.38,14240300,5.38
2011-03-24,5.33,5.36,5.30,5.32,6912700,5.32
2011-03-23,5.39,5.39,5.29,5.31,12885300,5.31
2011-03-22,5.33,5.40,5.30,5.38,32333900,5.38
2011-03-21,5.29,5.36,5.29,5.31,23414800,5.31
2011-03-18,5.28,5.32,5.24,5.28,30224200,5.28
2011-03-17,5.15,5.33,5.15,5.27,43231600,5.27
2011-03-16,5.21,5.31,5.18,5.25,35937400,5.25
2011-03-15,5.24,5.28,5.13,5.20,41024500,5.20
2011-03-14,5.31,5.33,5.24,5.25,24968200,5.25
2011-03-11,5.39,5.40,5.31,5.35,34626400,5.35
2011-03-10,5.45,5.50,5.43,5.44,29763100,5.44
2011-03-09,5.42,5.56,5.37,5.44,34311100,5.44
2011-03-08,5.37,5.50,5.36,5.41,22645100,5.41
2011-03-07,5.39,5.48,5.36,5.43,14431000,5.43
2011-03-04,5.40,5.47,5.36,5.42,9218900,5.42
2011-03-03,5.33,5.38,5.31,5.33,12371900,5.33
2011-03-02,5.35,5.36,5.24,5.30,11018700,5.30
2011-03-01,5.36,5.39,5.30,5.35,17486300,5.35
2011-02-28,5.37,5.37,5.29,5.31,6249900,5.31
2011-02-25,5.48,5.51,5.44,5.47,8562000,5.47
2011-02-24,5.47,5.50,5.40,5.47,43083500,5.47
2011-02-23,5.49,5.53,5.42,5.46,14784300,5.46
2011-02-22,5.59,5.59,5.50,5.52,9679000,5.52
2011-02-21,5.64,5.66,5.57,5.60,10961500,5.60
2011-02-18,5.53,5.66,5.52,5.60,18425900,5.60
2011-02-17,5.48,5.55,5.43,5.50,15580400,5.50
2011-02-16,5.44,5.49,5.43,5.45,9283400,5.45
2011-02-15,5.38,5.47,5.38,5.44,11986400,5.44
2011-02-14,5.39,5.44,5.36,5.42,7261500,5.42
2011-02-11,5.42,5.44,5.37,5.37,7003500,5.37
2011-02-10,5.42,5.48,5.42,5.44,9622600,5.44
2011-02-09,5.54,5.54,5.44,5.45,7623100,5.45
2011-02-08,5.60,5.60,5.50,5.52,10777100,5.52
2011-02-07,5.54,5.57,5.52,5.56,6220900,5.56
2011-02-04,5.48,5.53,5.46,5.52,11914000,5.52
2011-02-03,5.41,5.47,5.37,5.45,8091400,5.45
2011-02-02,5.36,5.43,5.30,5.41,13622900,5.41
2011-02-01,5.37,5.39,5.29,5.30,13175800,5.30
2011-01-31,5.34,5.36,5.30,5.35,8845400,5.35
2011-01-28,5.33,5.44,5.32,5.40,26699000,5.40
2011-01-27,5.24,5.33,5.23,5.32,17611400,5.32
2011-01-25,5.20,5.23,5.18,5.20,8780100,5.20
2011-01-24,5.17,5.19,5.17,5.17,5405300,5.17
2011-01-21,5.09,5.12,5.07,5.07,8489000,5.07
2011-01-20,5.08,5.12,5.02,5.09,12547400,5.09
2011-01-19,5.14,5.15,5.08,5.09,20950100,5.09
2011-01-18,5.17,5.19,5.14,5.15,11591200,5.15
2011-01-17,5.19,5.21,5.17,5.18,5811700,5.18
2011-01-14,5.20,5.20,5.14,5.18,11466500,5.18
2011-01-13,5.20,5.22,5.16,5.19,5753200,5.19
2011-01-12,5.19,5.22,5.13,5.17,6928400,5.17
2011-01-11,5.15,5.23,5.15,5.22,3602300,5.22
2011-01-10,5.20,5.22,5.17,5.21,2517000,5.21
2011-01-07,5.25,5.26,5.19,5.23,2087800,5.23
2011-01-06,5.23,5.25,5.19,5.24,3673000,5.24
2011-01-05,5.22,5.25,5.16,5.21,5716900,5.21
2011-01-04,5.30,5.32,5.22,5.24,3686000,5.24
2010-12-31,5.33,5.33,5.28,5.29,1586800,5.29
2010-12-30,5.34,5.36,5.32,5.34,1467600,5.34
2010-12-29,5.35,5.36,5.30,5.33,1808300,5.33
2010-12-24,5.36,5.39,5.33,5.36,4852000,5.36
2010-12-23,5.38,5.40,5.33,5.33,3094300,5.33
2010-12-22,5.39,5.40,5.34,5.40,3546700,5.40
2010-12-21,5.29,5.40,5.29,5.38,6292100,5.38
2010-12-20,5.33,5.38,5.29,5.30,9589900,5.30
2010-12-17,5.31,5.39,5.29,5.37,7916300,5.37
2010-12-16,5.26,5.34,5.26,5.32,9674800,5.32
2010-12-15,5.26,5.30,5.22,5.26,7878800,5.26
2010-12-14,5.25,5.29,5.22,5.26,4453800,5.26
2010-12-13,5.30,5.32,5.23,5.26,3892400,5.26
2010-12-10,5.33,5.35,5.25,5.28,8686100,5.28
2010-12-09,5.21,5.33,5.20,5.29,10370400,5.29
