Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,13.40,13.71,13.25,13.69,427200,13.69
2011-05-13,13.87,13.88,13.60,13.75,187200,13.75
2011-05-12,13.95,14.00,13.83,13.85,305900,13.85
2011-05-11,13.69,13.95,13.69,13.90,341500,13.90
2011-05-10,13.91,13.95,13.69,13.74,361700,13.74
2011-05-09,13.90,14.14,13.83,14.00,396400,14.00
2011-05-06,13.81,14.02,13.75,13.88,341300,13.88
2011-05-05,13.93,13.93,13.65,13.67,456400,13.67
2011-05-04,14.00,14.00,13.75,13.84,477300,13.84
2011-05-03,14.25,14.39,13.85,14.00,485500,14.00
2011-05-02,13.95,14.02,13.66,14.02,291000,14.02
2011-04-29,14.47,14.50,13.82,13.93,567100,13.93
2011-04-28,14.50,14.59,14.47,14.47,845100,14.47
2011-04-27,14.60,14.60,14.36,14.50,509300,14.50
2011-04-21,14.70,14.70,14.43,14.53,662000,14.53
2011-04-20,14.17,14.36,14.09,14.36,618200,14.36
2011-04-19,14.02,14.30,14.02,14.17,841500,14.17
2011-04-18,14.15,14.34,14.00,14.18,359900,14.18
2011-04-15,14.03,14.10,13.85,14.04,269100,14.04
2011-04-14,14.18,14.19,13.87,14.01,330900,14.01
2011-04-13,14.11,14.32,14.04,14.20,242400,14.20
2011-04-12,14.10,14.17,14.02,14.02,334100,14.02
2011-04-11,14.50,14.51,14.05,14.13,393400,14.13
2011-04-08,14.00,14.29,13.94,14.27,782000,14.27
2011-04-07,14.00,14.07,13.96,14.02,983700,14.02
2011-04-06,13.95,14.03,13.76,14.00,620400,14.00
2011-04-05,13.79,13.95,13.77,13.93,762100,13.93
2011-04-04,13.54,13.79,13.54,13.79,467600,13.79
2011-04-01,13.59,13.71,13.53,13.60,568600,13.60
2011-03-31,13.60,13.65,13.45,13.52,903900,13.52
2011-03-30,13.28,13.67,13.21,13.56,723100,13.56
2011-03-29,13.15,13.23,13.09,13.15,776400,13.15
2011-03-28,13.03,13.20,13.00,13.13,979300,13.13
2011-03-25,13.26,13.26,13.06,13.15,639000,13.15
2011-03-24,13.14,13.21,13.09,13.15,631100,13.15
2011-03-23,13.19,13.27,13.05,13.15,500700,13.15
2011-03-22,13.10,13.16,13.02,13.10,689100,13.10
2011-03-21,13.00,13.14,12.86,13.08,801900,13.08
2011-03-18,13.19,13.19,12.79,13.03,722600,13.03
2011-03-17,13.00,13.12,12.80,13.06,1207900,13.06
2011-03-16,13.23,13.23,12.86,13.15,1197800,13.15
2011-03-15,13.03,13.42,12.81,13.10,771300,13.10
2011-03-14,13.00,13.17,12.89,13.00,454400,13.00
2011-03-11,13.25,13.28,13.11,13.19,459900,13.19
2011-03-10,13.35,13.44,13.24,13.31,485700,13.31
2011-03-09,13.49,13.53,13.36,13.40,789400,13.40
2011-03-08,13.38,13.45,13.29,13.45,582600,13.45
2011-03-07,13.44,13.57,13.44,13.56,672100,13.56
2011-03-04,13.51,13.60,13.47,13.52,381400,13.52
2011-03-03,13.36,13.59,13.34,13.51,826400,13.51
2011-03-02,13.33,13.46,13.24,13.44,867700,13.44
2011-03-01,13.65,13.70,13.42,13.45,375800,13.45
2011-02-28,13.44,13.73,13.38,13.68,240100,13.68
2011-02-25,13.56,13.57,13.37,13.44,560500,13.44
2011-02-24,13.65,13.91,13.53,13.66,664800,13.66
2011-02-23,13.78,13.85,13.54,13.62,589900,13.62
2011-02-22,13.99,14.00,13.58,13.80,457900,13.80
2011-02-21,13.94,13.97,13.61,13.88,1246100,13.88
2011-02-18,13.86,13.98,13.79,13.90,1231200,13.90
2011-02-17,13.79,13.97,13.72,13.94,648300,13.94
2011-02-16,13.68,13.87,13.68,13.81,684500,13.81
2011-02-15,13.80,13.80,13.62,13.71,219800,13.71
2011-02-14,13.65,13.94,13.60,13.85,637500,13.85
2011-02-11,13.48,13.66,13.20,13.61,703300,13.61
2011-02-10,13.52,13.68,13.41,13.56,595600,13.56
2011-02-09,13.70,13.71,13.44,13.58,654400,13.58
2011-02-08,13.61,13.77,13.48,13.72,542900,13.72
2011-02-07,13.98,13.98,13.44,13.53,667800,13.53
2011-02-04,13.52,13.92,13.52,13.80,1297100,13.80
2011-02-03,13.36,13.48,13.25,13.44,950500,13.44
2011-02-02,13.24,13.58,13.14,13.42,1159000,13.42
2011-02-01,13.06,13.20,13.06,13.10,814000,13.10
2011-01-31,13.10,13.17,13.02,13.15,486900,13.15
2011-01-28,13.10,13.28,13.10,13.28,573700,13.28
2011-01-27,13.15,13.22,13.07,13.16,596200,13.16
2011-01-25,13.14,13.25,12.92,13.20,1163600,13.20
2011-01-24,13.08,13.13,12.89,13.08,340000,13.08
2011-01-21,12.96,13.08,12.84,13.01,504600,13.01
2011-01-20,12.97,13.01,12.87,12.98,417300,12.98
2011-01-19,13.08,13.10,12.87,12.91,827800,12.91
2011-01-18,12.90,13.20,12.90,13.18,1156000,13.18
2011-01-17,12.70,12.99,12.63,12.96,800400,12.96
2011-01-14,12.54,12.69,12.50,12.66,1221400,12.66
2011-01-13,12.50,12.66,12.42,12.52,351100,12.52
2011-01-12,12.40,12.50,12.33,12.43,857500,12.43
2011-01-11,12.36,12.53,12.33,12.40,399100,12.40
2011-01-10,12.50,12.54,12.33,12.44,679200,12.44
2011-01-07,12.70,12.71,12.57,12.57,443900,12.57
2011-01-06,12.63,12.78,12.63,12.70,373500,12.70
2011-01-05,12.56,12.86,12.53,12.77,623300,12.77
2011-01-04,12.63,12.84,12.52,12.69,628100,12.69
2010-12-31,12.65,12.73,12.64,12.68,143000,12.68
2010-12-30,12.79,12.90,12.68,12.72,169300,12.72
2010-12-29,12.84,12.90,12.70,12.78,234600,12.78
2010-12-24,12.76,12.79,12.70,12.76,71700,12.76
2010-12-23,12.68,12.85,12.68,12.77,183800,12.77
2010-12-22,12.65,12.85,12.61,12.75,567600,12.75
2010-12-21,12.78,12.91,12.65,12.65,577500,12.65
2010-12-20,12.91,13.05,12.81,12.84,596300,12.84
2010-12-17,12.87,13.08,12.66,13.01,632100,13.01
2010-12-16,12.40,12.89,12.40,12.87,1536300,12.87
2010-12-15,12.73,12.80,12.44,12.55,1798000,12.55
2010-12-14,13.00,13.01,12.72,12.75,1089100,12.75
2010-12-13,13.28,13.28,13.06,13.08,366200,13.08
2010-12-10,13.34,13.35,13.20,13.28,696800,13.28
2010-12-09,13.23,13.45,13.18,13.33,749700,13.33
2010-12-08,13.36,13.40,13.20,13.23,502600,13.23
2010-12-07,13.45,13.62,13.29,13.42,400800,13.42
2010-12-06,13.60,13.70,13.44,13.62,438000,13.62
2010-12-03,13.38,13.48,13.32,13.42,335000,13.42
2010-12-02,13.21,13.34,13.03,13.29,511300,13.29
2010-12-01,12.73,13.26,12.40,13.18,767700,13.18
2010-11-30,13.35,13.48,13.15,13.18,966000,13.18
2010-11-29,13.42,13.50,13.28,13.33,451200,13.33
2010-11-26,13.46,13.58,13.45,13.50,562400,13.50
2010-11-25,13.35,13.62,13.35,13.50,1153800,13.50
2010-11-24,13.24,13.60,13.23,13.48,714000,13.48
2010-11-23,13.62,13.68,13.33,13.34,972100,13.34
2010-11-22,13.65,13.72,13.50,13.71,328100,13.71
2010-11-19,13.61,13.61,13.44,13.53,703300,13.53
2010-11-18,13.49,13.60,13.46,13.60,599400,13.60
2010-11-17,13.41,13.60,13.40,13.60,703300,13.60
2010-11-16,13.58,13.61,13.49,13.61,416700,13.61
2010-11-15,13.58,13.67,13.47,13.57,262700,13.57
2010-11-12,13.57,13.65,13.51,13.54,557600,13.54
2010-11-11,13.70,13.70,13.59,13.65,263700,13.65
2010-11-10,13.58,13.75,13.57,13.63,604300,13.63
2010-11-09,13.56,13.70,13.52,13.70,412000,13.70
2010-11-08,13.65,13.71,13.55,13.61,244500,13.61
2010-11-05,13.66,13.79,13.53,13.60,444300,13.60
2010-11-04,13.60,13.67,13.53,13.66,452800,13.66
2010-11-03,13.55,13.60,13.45,13.58,215300,13.58
2010-11-02,13.50,13.55,13.45,13.49,270500,13.49
2010-11-01,13.52,13.62,13.44,13.59,288600,13.59
2010-10-29,13.62,13.62,13.38,13.55,673500,13.55
2010-10-28,13.47,13.64,13.46,13.60,514300,13.60
2010-10-27,13.49,13.59,13.43,13.56,561100,13.56
2010-10-26,13.52,13.55,13.36,13.45,920100,13.45
2010-10-25,13.37,13.59,13.25,13.48,657700,13.48
2010-10-22,13.25,13.39,13.21,13.39,902800,13.39
2010-10-21,13.43,13.43,13.14,13.19,724900,13.19
2010-10-20,13.32,13.50,13.20,13.27,696300,13.27
2010-10-19,13.53,13.59,13.31,13.47,1078300,13.47
2010-10-18,13.40,13.55,13.34,13.49,906300,13.49
2010-10-15,13.43,13.63,13.37,13.51,653100,13.51
2010-10-14,13.65,13.71,13.19,13.44,951100,13.44
2010-10-13,13.40,13.58,13.28,13.53,736700,13.53
2010-10-12,13.22,13.38,13.15,13.21,1115400,13.21
2010-10-11,13.62,13.67,13.46,13.51,430700,13.51
2010-10-08,13.50,13.62,13.47,13.58,558900,13.58
2010-10-07,13.48,13.58,13.41,13.53,958800,13.53
2010-10-06,13.39,13.48,13.35,13.45,450400,13.45
2010-10-05,13.12,13.43,12.89,13.34,983900,13.34
2010-10-04,13.12,13.36,13.07,13.23,149700,13.23
2010-10-01,13.33,13.38,13.10,13.13,461500,13.13
2010-09-30,13.30,13.48,13.20,13.35,932100,13.35
2010-09-29,13.15,13.43,13.11,13.36,1866600,13.36
2010-09-28,13.14,13.16,13.01,13.15,782200,13.15
2010-09-27,13.20,13.26,13.02,13.26,298200,13.26
2010-09-24,12.96,13.18,12.77,13.00,516000,13.00
2010-09-23,13.11,13.25,13.00,13.05,548600,13.05
2010-09-22,13.16,13.42,12.85,13.05,542500,13.05
2010-09-21,13.33,13.33,13.08,13.15,592900,13.15
2010-09-20,13.39,13.59,13.16,13.36,210300,13.36
2010-09-17,13.57,13.58,13.39,13.47,396300,13.47
2010-09-16,13.61,13.65,13.41,13.43,1254200,13.43
2010-09-15,13.52,13.54,13.38,13.47,526600,13.47
2010-09-14,13.45,13.60,13.38,13.47,503000,13.47
2010-09-13,13.61,13.64,13.36,13.39,489400,13.39
2010-09-10,13.60,13.70,13.43,13.47,345900,13.47
2010-09-09,13.45,13.64,13.40,13.50,548300,13.50
2010-09-08,13.53,13.69,13.37,13.37,590500,13.37
2010-09-07,13.60,13.68,13.47,13.51,330600,13.51
2010-09-06,13.50,13.70,13.49,13.68,528500,13.68
2010-09-03,13.29,13.49,13.25,13.43,570900,13.43
2010-09-02,13.40,13.44,13.11,13.24,889300,13.24
2010-09-01,13.49,13.55,13.29,13.31,1373600,13.31
2010-08-31,13.26,13.58,12.99,13.48,645400,13.48
2010-08-30,13.25,13.46,13.07,13.17,608000,12.99
2010-08-27,13.06,13.20,12.93,13.12,669300,12.95
2010-08-26,13.23,13.28,13.04,13.11,1340700,12.94
2010-08-25,13.31,13.58,12.94,13.23,1351000,13.05
2010-08-24,13.03,13.44,12.87,13.29,841400,13.11
2010-08-23,12.91,13.36,12.85,13.10,941400,12.93
2010-08-20,12.83,12.96,12.57,12.76,512600,12.59
2010-08-19,13.08,13.10,12.86,12.96,537800,12.79
2010-08-18,13.21,13.21,12.92,12.98,573800,12.81
2010-08-17,13.10,13.23,13.03,13.12,590900,12.95
2010-08-16,13.14,13.20,12.97,13.09,654500,12.92
2010-08-13,13.01,13.33,13.01,13.22,878600,13.04
2010-08-12,12.90,13.14,12.73,13.01,711600,12.84
2010-08-11,13.20,13.45,13.19,13.34,638600,13.16
2010-08-10,13.40,13.40,13.03,13.20,619400,13.02
2010-08-09,13.31,13.49,13.22,13.36,461600,13.18
2010-08-06,13.26,13.35,13.21,13.35,305700,13.17
2010-08-05,13.20,13.32,13.09,13.25,664700,13.07
2010-08-04,13.08,13.19,13.00,13.13,517700,12.96
2010-08-03,13.15,13.17,12.95,13.00,640100,12.83
2010-08-02,12.95,13.21,12.84,13.00,366900,12.83
2010-07-30,13.00,13.13,12.85,12.85,937500,12.68
2010-07-29,13.15,13.34,13.03,13.03,374600,12.86
2010-07-28,13.24,13.41,13.15,13.20,572700,13.02
2010-07-27,13.36,13.37,13.11,13.17,472400,12.99
2010-07-26,13.67,13.73,13.08,13.29,948400,13.11
2010-07-23,13.60,13.63,13.43,13.59,645400,13.41
2010-07-22,13.54,13.73,13.38,13.44,1531100,13.26
2010-07-21,13.00,13.50,12.71,13.50,576700,13.32
2010-07-20,12.88,13.10,12.67,12.98,482700,12.81
2010-07-19,12.61,12.88,12.61,12.72,291500,12.55
2010-07-16,12.85,12.96,12.72,12.76,138800,12.59
2010-07-15,13.15,13.15,12.83,12.85,346200,12.68
2010-07-14,13.10,13.13,12.71,12.88,507100,12.71
2010-07-13,12.84,13.06,12.82,12.99,886600,12.82
2010-07-12,12.69,12.97,12.66,12.76,454400,12.59
2010-07-09,12.70,12.78,12.53,12.73,635600,12.56
2010-07-08,13.00,13.19,12.49,12.64,735300,12.47
2010-07-07,12.57,12.90,12.50,12.88,930200,12.71
2010-07-06,12.67,12.89,12.38,12.50,668800,12.33
2010-07-05,12.68,12.97,12.58,12.73,483600,12.56
2010-07-02,12.97,12.97,12.62,12.68,622400,12.51
2010-07-01,12.94,13.09,12.57,12.81,584300,12.64
2010-06-30,12.93,13.15,12.74,13.13,408000,12.96
2010-06-29,13.34,13.45,13.06,13.17,596400,12.99
2010-06-28,13.40,13.43,13.18,13.35,376900,13.17
2010-06-25,13.28,13.46,13.18,13.36,258100,13.18
2010-06-24,13.41,13.44,13.23,13.35,320600,13.17
2010-06-23,13.29,13.50,13.23,13.43,779700,13.25
2010-06-22,13.23,13.34,13.05,13.30,281000,13.12
2010-06-21,13.33,13.41,13.19,13.39,517300,13.21
2010-06-18,13.36,13.36,13.06,13.10,690100,12.93
2010-06-17,13.35,13.41,13.22,13.29,695600,13.11
2010-06-16,13.23,13.46,13.03,13.32,1053900,13.14
2010-06-15,12.78,13.19,12.72,13.11,1093500,12.94
2010-06-11,12.85,12.85,12.53,12.70,999800,12.53
2010-06-10,12.82,12.85,12.69,12.77,484800,12.60
2010-06-09,12.94,12.96,12.69,12.80,865400,12.63
2010-06-08,12.94,13.07,12.88,12.95,400600,12.78
2010-06-07,12.89,13.11,12.63,12.95,730800,12.78
2010-06-04,12.88,13.33,12.84,13.02,775300,12.85
2010-06-03,12.76,12.99,12.54,12.91,363900,12.74
2010-06-02,12.73,12.73,12.36,12.51,873500,12.34
2010-06-01,12.45,12.86,12.45,12.80,1260200,12.63
2010-05-31,12.47,12.77,12.35,12.50,865900,12.33
2010-05-28,12.12,12.53,12.08,12.51,623400,12.34
2010-05-27,12.10,12.40,12.00,12.02,2358800,11.86
