Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,4.20,4.23,4.19,4.22,1067500,4.22
2011-05-13,4.22,4.25,4.21,4.24,1181000,4.24
2011-05-12,4.24,4.27,4.20,4.21,706000,4.21
2011-05-11,4.22,4.24,4.21,4.23,1142200,4.23
2011-05-10,4.20,4.21,4.18,4.18,1656100,4.18
2011-05-09,4.25,4.28,4.18,4.20,629100,4.20
2011-05-06,4.28,4.30,4.24,4.25,833300,4.25
2011-05-05,4.22,4.27,4.21,4.27,717700,4.27
2011-05-04,4.26,4.34,4.26,4.28,869100,4.28
2011-05-03,4.20,4.26,4.16,4.19,887200,4.19
2011-05-02,4.22,4.26,4.12,4.22,725000,4.22
2011-04-29,4.31,4.33,4.22,4.25,816300,4.25
2011-04-28,4.39,4.39,4.31,4.31,641200,4.31
2011-04-27,4.39,4.43,4.28,4.30,940200,4.30
2011-04-21,4.28,4.37,4.24,4.37,1425900,4.37
2011-04-20,4.22,4.26,4.20,4.24,711400,4.24
2011-04-19,4.26,4.26,4.16,4.18,892700,4.18
2011-04-18,4.18,4.27,4.18,4.22,1627200,4.22
2011-04-15,4.19,4.21,4.15,4.18,436400,4.18
2011-04-14,4.19,4.20,4.12,4.19,831700,4.19
2011-04-13,4.17,4.22,4.09,4.19,1841100,4.19
2011-04-12,4.25,4.27,4.15,4.17,1221900,4.17
2011-04-11,4.29,4.29,4.21,4.25,1348700,4.25
2011-04-08,4.26,4.29,4.24,4.28,661800,4.28
2011-04-07,4.26,4.28,4.20,4.24,779700,4.24
2011-04-06,4.27,4.28,4.23,4.25,834600,4.25
2011-04-05,4.27,4.28,4.23,4.25,622800,4.25
2011-04-04,4.23,4.28,4.22,4.26,814000,4.26
2011-04-01,4.19,4.24,4.18,4.23,837900,4.23
2011-03-31,4.21,4.22,4.15,4.21,853700,4.21
2011-03-30,4.10,4.22,4.09,4.20,1121500,4.20
2011-03-29,4.10,4.11,4.04,4.10,1306000,4.10
2011-03-28,4.07,4.11,4.06,4.08,707500,4.08
2011-03-25,4.04,4.13,4.02,4.11,1028300,4.11
2011-03-24,4.01,4.04,4.01,4.04,640000,4.04
2011-03-23,4.03,4.03,4.00,4.03,641700,4.03
2011-03-22,4.00,4.04,4.00,4.03,1033500,4.03
2011-03-21,4.00,4.02,3.99,4.00,615300,4.00
2011-03-18,3.99,4.00,3.94,4.00,962300,4.00
2011-03-17,3.98,3.98,3.90,3.96,2059900,3.96
2011-03-16,3.90,3.94,3.86,3.92,2291800,3.92
2011-03-15,4.00,4.00,3.87,3.90,1042300,3.90
2011-03-14,3.99,4.01,3.95,3.98,981800,3.98
2011-03-11,4.01,4.03,3.96,4.00,1465600,4.00
2011-03-10,4.05,4.08,4.00,4.00,1386800,4.00
2011-03-09,4.10,4.10,4.04,4.05,842800,4.05
2011-03-08,4.06,4.09,4.05,4.06,1020400,4.06
2011-03-07,4.06,4.10,4.06,4.06,736100,4.06
2011-03-04,4.07,4.10,4.06,4.10,560400,4.10
2011-03-03,4.05,4.06,4.03,4.05,907200,4.05
2011-03-02,4.03,4.05,4.00,4.05,1306700,4.05
2011-03-01,4.04,4.06,4.03,4.04,1298600,4.04
