Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,1.39,1.42,1.38,1.42,1934000,1.42
2011-05-13,1.42,1.43,1.37,1.42,1726600,1.42
2011-05-12,1.40,1.43,1.40,1.43,1965500,1.43
2011-05-11,1.42,1.45,1.41,1.43,2182200,1.43
2011-05-10,1.42,1.45,1.40,1.40,808300,1.40
2011-05-09,1.42,1.45,1.42,1.43,821300,1.43
2011-05-06,1.39,1.46,1.39,1.43,2523400,1.43
2011-05-05,1.45,1.46,1.39,1.41,3992800,1.41
2011-05-04,1.48,1.49,1.42,1.47,3624800,1.47
2011-05-03,1.58,1.58,1.49,1.49,1774100,1.49
2011-05-02,1.57,1.59,1.57,1.58,2309900,1.58
2011-04-29,1.58,1.58,1.57,1.57,2597400,1.57
2011-04-28,1.58,1.60,1.56,1.59,1150100,1.59
2011-04-27,1.62,1.62,1.57,1.58,2961400,1.58
2011-04-21,1.62,1.63,1.59,1.60,1802500,1.60
2011-04-20,1.60,1.60,1.57,1.59,807000,1.59
2011-04-19,1.56,1.59,1.55,1.58,1151300,1.58
2011-04-18,1.61,1.61,1.58,1.58,1631200,1.58
2011-04-15,1.59,1.61,1.58,1.59,1048300,1.59
2011-04-14,1.57,1.60,1.53,1.59,1099400,1.59
2011-04-13,1.59,1.59,1.56,1.57,2669700,1.57
2011-04-12,1.61,1.61,1.58,1.58,1746900,1.58
2011-04-11,1.61,1.62,1.57,1.59,1642600,1.59
2011-04-08,1.60,1.62,1.57,1.60,5401300,1.60
2011-04-07,1.63,1.63,1.59,1.60,1155600,1.60
2011-04-06,1.63,1.63,1.61,1.61,1323200,1.61
2011-04-05,1.62,1.64,1.61,1.63,4474500,1.63
2011-04-04,1.62,1.62,1.58,1.59,628600,1.59
2011-04-01,1.56,1.58,1.55,1.57,12467200,1.57
2011-03-31,1.54,1.55,1.52,1.55,737700,1.55
2011-03-30,1.55,1.55,1.52,1.53,1546600,1.53
2011-03-29,1.52,1.53,1.51,1.52,1842600,1.52
2011-03-28,1.53,1.54,1.51,1.53,887600,1.53
2011-03-25,1.52,1.55,1.51,1.52,1607600,1.52
2011-03-24,1.54,1.54,1.51,1.52,1117300,1.52
2011-03-23,1.55,1.55,1.50,1.51,2672900,1.51
2011-03-22,1.57,1.58,1.52,1.54,1251300,1.54
2011-03-21,1.55,1.55,1.50,1.54,1828600,1.54
2011-03-18,1.49,1.51,1.46,1.51,1812000,1.51
2011-03-17,1.50,1.52,1.46,1.52,3672000,1.52
2011-03-16,1.50,1.52,1.47,1.52,1907600,1.52
2011-03-15,1.53,1.54,1.46,1.50,2054200,1.50
2011-03-14,1.50,1.54,1.47,1.53,2086600,1.53
2011-03-11,1.56,1.57,1.51,1.53,1933500,1.53
2011-03-10,1.62,1.62,1.54,1.56,1328700,1.56
2011-03-09,1.62,1.62,1.57,1.59,2082400,1.59
2011-03-08,1.61,1.63,1.61,1.61,1629600,1.61
2011-03-07,1.67,1.68,1.65,1.65,2475700,1.65
2011-03-04,1.67,1.68,1.65,1.68,1481100,1.68
2011-03-03,1.71,1.73,1.70,1.72,1535500,1.72
2011-03-02,1.75,1.75,1.70,1.71,1341400,1.71
2011-03-01,1.75,1.77,1.75,1.75,1148700,1.75
2011-02-28,1.77,1.79,1.72,1.75,638100,1.75
2011-02-25,1.74,1.76,1.50,1.76,1684900,1.76
2011-02-24,1.72,1.74,1.70,1.71,1835200,1.71
2011-02-23,1.73,1.75,1.73,1.74,1227400,1.74
2011-02-22,1.77,1.77,1.73,1.75,776200,1.75
2011-02-21,1.78,1.78,1.76,1.77,624000,1.77
2011-02-18,1.75,1.78,1.75,1.78,542800,1.78
2011-02-17,1.76,1.76,1.74,1.76,819100,1.76
2011-02-16,1.75,1.75,1.74,1.75,924200,1.75
2011-02-15,1.74,1.75,1.72,1.75,918600,1.75
2011-02-14,1.75,1.75,1.73,1.75,1355500,1.75
2011-02-11,1.75,1.75,1.72,1.73,1141100,1.73
2011-02-10,1.75,1.76,1.73,1.75,1068100,1.75
2011-02-09,1.76,1.76,1.75,1.75,977900,1.75
2011-02-08,1.76,1.77,1.75,1.76,497700,1.76
2011-02-07,1.77,1.79,1.75,1.75,2227700,1.75
2011-02-04,1.73,1.76,1.72,1.76,1802800,1.76
2011-02-03,1.73,1.75,1.71,1.74,1606300,1.74
2011-02-02,1.74,1.75,1.71,1.72,3515700,1.72
2011-02-01,1.72,1.76,1.71,1.73,1645600,1.73
2011-01-31,1.76,1.76,1.72,1.73,892700,1.73
2011-01-28,1.78,1.79,1.75,1.77,783700,1.77
2011-01-27,1.78,1.79,1.77,1.78,757500,1.78
2011-01-25,1.79,1.80,1.77,1.78,2996200,1.78
2011-01-24,1.79,1.79,1.76,1.79,5207400,1.79
2011-01-21,1.85,1.88,1.83,1.83,664100,1.83
2011-01-20,1.88,1.88,1.84,1.85,542900,1.85
2011-01-19,1.87,1.91,1.83,1.87,537700,1.87
2011-01-18,1.88,1.88,1.84,1.86,450000,1.86
2011-01-17,1.88,1.89,1.85,1.85,666700,1.85
2011-01-14,1.85,1.89,1.82,1.89,882100,1.89
2011-01-13,1.85,1.85,1.81,1.82,1072400,1.82
2011-01-12,1.82,1.85,1.82,1.83,395000,1.83
2011-01-11,1.85,1.86,1.84,1.84,518500,1.84
2011-01-10,1.85,1.86,1.85,1.85,606000,1.85
2011-01-07,1.87,1.87,1.86,1.86,589600,1.86
2011-01-06,1.90,1.90,1.85,1.87,1106500,1.87
2011-01-05,1.88,1.91,1.87,1.89,465100,1.89
2011-01-04,1.93,1.95,1.88,1.92,1070900,1.92
2010-12-31,1.97,1.98,1.93,1.93,192800,1.93
2010-12-30,2.00,2.01,1.97,1.98,643400,1.98
2010-12-29,1.94,2.01,1.93,1.99,943200,1.99
2010-12-24,1.95,1.96,1.93,1.93,102500,1.93
2010-12-23,1.94,1.96,1.93,1.95,685400,1.95
2010-12-22,1.92,1.95,1.92,1.95,475500,1.95
2010-12-21,1.94,1.95,1.93,1.93,588200,1.93
2010-12-20,1.89,1.96,1.89,1.94,3048100,1.94
2010-12-17,1.90,1.90,1.87,1.89,448500,1.89
2010-12-16,1.89,1.91,1.88,1.89,1623500,1.89
2010-12-15,1.89,1.91,1.89,1.90,874600,1.90
2010-12-14,1.86,1.89,1.86,1.88,548900,1.88
2010-12-13,1.89,1.91,1.87,1.87,740900,1.87
2010-12-10,1.89,1.90,1.88,1.89,798300,1.89
2010-12-09,1.91,1.92,1.89,1.90,1419700,1.90
2010-12-08,1.90,1.92,1.88,1.90,1361000,1.90
2010-12-07,1.95,1.95,1.88,1.90,2722600,1.90
2010-12-06,1.91,1.96,1.91,1.93,1053100,1.93
2010-12-03,1.93,1.93,1.91,1.91,853000,1.91
2010-12-02,1.87,1.90,1.86,1.90,1166000,1.90
2010-12-01,1.83,1.87,1.83,1.86,959600,1.86
2010-11-30,1.82,1.87,1.82,1.86,1184800,1.86
2010-11-29,1.85,1.88,1.84,1.86,1714500,1.86
2010-11-26,1.84,1.89,1.82,1.86,2211200,1.86
2010-11-25,1.80,1.84,1.80,1.83,2813400,1.83
2010-11-24,1.90,1.90,1.81,1.84,3730400,1.84
2010-11-23,1.89,1.95,1.86,1.91,5617000,1.91
2010-11-22,1.92,1.93,1.88,1.90,1210000,1.90
2010-11-19,1.91,1.91,1.88,1.88,795500,1.88
2010-11-18,1.90,1.92,1.90,1.92,1439000,1.92
2010-11-17,1.87,1.92,1.86,1.92,1423700,1.92
2010-11-16,1.91,1.93,1.90,1.92,1338900,1.92
2010-11-15,1.92,1.93,1.91,1.92,1546200,1.92
2010-11-12,1.93,1.95,1.92,1.92,699100,1.92
2010-11-11,1.96,1.96,1.94,1.95,1726300,1.95
2010-11-10,1.97,1.99,1.95,1.96,726500,1.96
2010-11-09,1.94,1.99,1.93,1.99,1062100,1.99
2010-11-08,2.00,2.00,1.91,1.94,637500,1.94
2010-11-05,1.99,1.99,1.98,1.99,766100,1.99
2010-11-04,1.99,2.00,1.97,1.98,545300,1.98
2010-11-03,1.96,1.98,1.96,1.98,434200,1.98
2010-11-02,1.93,1.98,1.93,1.98,338900,1.98
2010-11-01,1.93,1.96,1.91,1.96,1638000,1.96
2010-10-29,1.93,1.94,1.90,1.93,2188800,1.93
2010-10-28,1.93,1.96,1.68,1.93,1903400,1.93
2010-10-27,1.97,1.98,1.93,1.95,1097900,1.95
2010-10-26,1.97,1.97,1.96,1.97,951600,1.97
2010-10-25,1.95,1.97,1.94,1.97,1583800,1.97
2010-10-22,1.93,1.97,1.93,1.96,1511100,1.96
2010-10-21,1.98,2.00,1.93,1.94,2202300,1.94
2010-10-20,1.94,1.96,1.92,1.95,2094400,1.95
2010-10-19,1.96,1.97,1.95,1.96,2908400,1.96
2010-10-18,1.96,1.98,1.95,1.96,885200,1.96
2010-10-15,1.95,1.98,1.95,1.97,1276200,1.97
2010-10-14,2.00,2.00,1.97,1.99,2032500,1.99
2010-10-13,2.00,2.03,1.98,2.00,742600,2.00
2010-10-12,2.00,2.01,1.97,1.98,1207900,1.98
2010-10-11,2.04,2.04,2.00,2.00,574800,2.00
2010-10-08,1.99,2.02,1.99,2.00,1613800,2.00
2010-10-07,2.01,2.03,1.99,2.01,1171800,2.01
2010-10-06,2.01,2.04,2.00,2.03,1061600,2.03
2010-10-05,1.96,2.00,1.96,1.99,1155100,1.99
2010-10-04,2.00,2.00,1.97,1.98,677400,1.98
2010-10-01,2.00,2.01,1.97,1.97,1278100,1.97
2010-09-30,2.00,2.01,1.97,2.00,1783100,2.00
2010-09-29,2.04,2.06,2.01,2.01,3056900,2.01
2010-09-28,2.00,2.05,1.98,2.05,2753800,2.05
2010-09-27,2.01,2.03,1.97,2.03,1970200,2.03
2010-09-24,1.97,1.99,1.96,1.98,808900,1.98
2010-09-23,1.96,1.98,1.93,1.97,808700,1.97
2010-09-22,1.96,1.97,1.96,1.97,1584900,1.97
2010-09-21,1.88,1.93,1.87,1.93,2945200,1.93
2010-09-20,1.87,1.88,1.86,1.88,523800,1.88
2010-09-17,1.89,1.89,1.86,1.88,2564600,1.88
2010-09-16,1.87,1.88,1.86,1.87,2662800,1.87
2010-09-15,1.87,1.88,1.85,1.88,2636100,1.88
2010-09-14,1.85,1.88,1.83,1.87,1708400,1.87
2010-09-13,1.87,1.88,1.84,1.85,2372200,1.85
2010-09-10,1.87,1.88,1.84,1.84,2667500,1.84
2010-09-09,1.89,1.93,1.86,1.87,1549300,1.87
2010-09-08,1.88,1.91,1.86,1.87,2807900,1.87
2010-09-07,1.90,1.91,1.85,1.89,3686400,1.89
2010-09-06,1.94,1.97,1.91,1.91,2205900,1.91
2010-09-03,1.92,1.94,1.90,1.92,2472100,1.92
2010-09-02,1.92,1.93,1.89,1.90,2285700,1.90
2010-09-01,1.85,1.89,1.84,1.88,1270800,1.88
2010-08-31,1.86,1.90,1.86,1.89,3032600,1.84
2010-08-30,1.88,1.88,1.81,1.88,1437800,1.84
2010-08-27,1.85,1.86,1.84,1.84,1403200,1.79
2010-08-26,1.88,1.88,1.85,1.86,1398400,1.81
2010-08-25,1.87,1.88,1.86,1.88,2013700,1.83
2010-08-24,1.87,1.88,1.86,1.88,1670000,1.83
2010-08-23,1.86,1.91,1.86,1.86,1778100,1.81
2010-08-20,1.89,1.90,1.86,1.87,1685900,1.82
2010-08-19,1.90,1.95,1.90,1.92,8467400,1.87
2010-08-18,1.91,1.93,1.86,1.88,13432000,1.83
2010-08-17,2.01,2.05,1.98,2.05,1263600,2.00
2010-08-16,2.02,2.04,2.00,2.02,2256000,1.97
2010-08-13,2.01,2.04,2.00,2.04,1933200,1.99
2010-08-12,2.00,2.03,1.99,2.03,841500,1.98
2010-08-11,2.09,2.09,2.04,2.06,921400,2.01
2010-08-10,2.08,2.12,2.08,2.11,1022900,2.05
2010-08-09,2.06,2.10,2.05,2.08,587600,2.02
2010-08-06,2.09,2.12,2.09,2.10,633700,2.04
2010-08-05,2.14,2.15,2.08,2.09,729200,2.03
2010-08-04,2.13,2.13,2.10,2.10,605700,2.04
2010-08-03,2.16,2.19,2.12,2.13,761400,2.07
2010-08-02,2.11,2.16,2.10,2.13,789400,2.07
2010-07-30,2.08,2.11,2.05,2.11,606700,2.05
2010-07-29,2.09,2.10,2.06,2.08,1028100,2.02
2010-07-28,2.09,2.09,2.07,2.09,958700,2.03
2010-07-27,2.09,2.10,2.06,2.09,1153500,2.03
2010-07-26,2.01,2.07,2.00,2.05,988900,2.00
2010-07-23,2.01,2.01,1.98,2.00,906400,1.95
2010-07-22,1.97,2.00,1.94,1.96,1662700,1.91
2010-07-21,2.01,2.03,1.98,2.00,603500,1.94
2010-07-20,1.94,2.01,1.94,1.98,1662600,1.92
2010-07-19,2.01,2.01,1.97,1.98,1339600,1.92
2010-07-16,2.06,2.08,2.03,2.05,1348600,2.00
2010-07-15,2.05,2.06,2.03,2.06,1623500,2.01
2010-07-14,2.05,2.06,2.03,2.05,3059800,2.00
2010-07-13,1.98,2.02,1.97,1.99,1716400,1.94
2010-07-12,1.99,1.99,1.96,1.99,415400,1.93
2010-07-09,2.00,2.02,1.95,1.98,2012600,1.93
2010-07-08,1.98,2.01,1.97,1.98,1343800,1.93
2010-07-07,1.95,1.95,1.88,1.92,1636300,1.87
2010-07-06,1.96,1.96,1.90,1.96,1434900,1.91
2010-07-05,2.00,2.01,1.97,1.98,2874800,1.93
2010-07-02,2.01,2.03,1.96,2.01,1883500,1.96
2010-07-01,1.95,1.99,1.91,1.97,1932100,1.92
2010-06-30,1.98,2.00,1.95,1.99,2072400,1.93
2010-06-29,2.07,2.09,2.03,2.04,4106000,1.99
2010-06-28,2.06,2.08,2.00,2.06,1536000,2.01
2010-06-25,2.06,2.08,2.05,2.05,4616100,2.00
2010-06-24,2.08,2.11,2.04,2.09,2012000,2.03
2010-06-23,2.10,2.13,2.05,2.05,2082100,2.00
2010-06-22,2.13,2.19,2.10,2.14,1663800,2.08
2010-06-21,2.18,2.20,2.14,2.17,1303900,2.11
2010-06-18,2.21,2.21,2.12,2.12,5047500,2.06
2010-06-17,2.20,2.23,2.17,2.19,3084900,2.13
2010-06-16,2.24,2.26,2.22,2.24,2211800,2.18
2010-06-15,2.26,2.26,2.18,2.19,1326300,2.13
2010-06-11,2.24,2.28,2.24,2.26,928000,2.20
2010-06-10,2.17,2.20,2.16,2.20,1385700,2.14
2010-06-09,2.24,2.29,2.15,2.18,1327100,2.12
2010-06-08,2.15,2.24,2.15,2.23,1378300,2.17
2010-06-07,2.22,2.22,2.15,2.16,1436300,2.10
2010-06-04,2.28,2.32,2.26,2.28,1088700,2.22
2010-06-03,2.23,2.30,2.22,2.28,1131100,2.22
2010-06-02,2.21,2.25,2.18,2.20,1908100,2.14
2010-06-01,2.17,2.26,2.15,2.23,5313900,2.17
2010-05-31,2.19,2.24,2.16,2.19,1209200,2.13
2010-05-28,2.23,2.23,2.17,2.20,2061800,2.14
2010-05-27,2.11,2.19,2.07,2.17,3314600,2.11
2010-05-26,2.20,2.26,2.11,2.11,2062900,2.05
2010-05-25,2.20,2.20,2.15,2.15,1405200,2.09
2010-05-24,2.24,2.27,2.19,2.22,3348900,2.16
2010-05-21,2.17,2.29,2.06,2.25,1280700,2.19
2010-05-20,2.27,2.33,2.25,2.26,3094600,2.20
2010-05-19,2.34,2.37,2.30,2.33,1474100,2.27
2010-05-18,2.41,2.43,2.37,2.40,1267700,2.34
2010-05-17,2.42,2.42,2.37,2.39,2592700,2.33
2010-05-14,2.47,2.49,2.44,2.47,700100,2.40
2010-05-13,2.48,2.50,2.44,2.50,1676700,2.43
2010-05-12,2.45,2.47,2.41,2.43,2748000,2.37
2010-05-11,2.43,2.46,2.39,2.43,1517400,2.37
2010-05-10,2.39,2.44,2.32,2.44,982500,2.38
2010-05-07,2.35,2.42,2.28,2.38,1438500,2.32
2010-05-06,2.43,2.45,2.39,2.45,1965500,2.39
2010-05-05,2.39,2.45,2.35,2.45,1225500,2.39
2010-05-04,2.48,2.50,2.45,2.47,1851600,2.40
2010-05-03,2.41,2.50,2.37,2.45,1429400,2.39
2010-04-30,2.45,2.47,2.44,2.45,2680200,2.39
2010-04-29,2.40,2.46,2.40,2.44,3041900,2.38
2010-04-28,2.41,2.49,2.31,2.42,1479900,2.36
2010-04-27,2.45,2.54,2.44,2.46,1862500,2.39
2010-04-23,2.39,2.44,2.36,2.43,1904500,2.37
2010-04-22,2.35,2.47,2.33,2.38,2308200,2.32
2010-04-21,2.32,2.33,2.29,2.32,765600,2.26
2010-04-20,2.29,2.31,2.27,2.30,1360100,2.24
2010-04-19,2.22,2.27,2.19,2.26,1045500,2.20
2010-04-16,2.26,2.28,2.25,2.25,334100,2.19
2010-04-15,2.30,2.31,2.26,2.26,1810500,2.20
2010-04-14,2.31,2.32,2.29,2.30,567300,2.24
2010-04-13,2.29,2.31,2.29,2.29,2848200,2.23
