Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,7.78,7.93,7.65,7.79,326800,7.79
2011-05-13,8.26,8.30,7.92,8.01,361200,8.01
2011-05-12,8.39,8.47,8.15,8.15,304700,8.15
2011-05-11,8.54,8.70,8.43,8.70,386300,8.70
2011-05-10,8.47,8.80,8.23,8.23,442700,8.23
2011-05-09,8.64,8.80,8.46,8.50,534300,8.50
2011-05-06,8.64,8.64,8.36,8.56,358000,8.56
2011-05-05,8.25,8.77,8.15,8.58,544500,8.58
2011-05-04,8.06,8.30,8.03,8.30,421000,8.30
2011-05-03,8.43,8.43,8.08,8.18,710800,8.18
2011-05-02,8.84,8.88,8.32,8.69,942200,8.69
2011-04-29,9.35,9.42,8.96,9.08,552400,9.08
2011-04-28,9.54,9.54,9.30,9.37,407800,9.37
2011-04-27,9.85,10.16,9.26,9.30,935500,9.30
2011-04-21,9.35,9.60,9.35,9.56,513500,9.56
2011-04-20,9.03,9.27,9.03,9.27,566100,9.27
2011-04-19,9.18,9.23,8.82,8.82,639100,8.82
2011-04-18,9.42,9.53,9.28,9.35,282200,9.35
2011-04-15,9.60,9.60,9.35,9.39,399200,9.39
2011-04-14,9.50,9.53,9.27,9.47,363900,9.47
2011-04-13,9.20,9.55,9.12,9.50,600500,9.50
2011-04-12,9.58,9.70,9.16,9.22,454900,9.22
2011-04-11,9.75,9.84,9.70,9.76,440000,9.76
2011-04-08,9.38,9.71,9.33,9.71,735400,9.71
2011-04-07,9.62,9.62,9.32,9.33,439700,9.33
2011-04-06,9.67,9.67,9.55,9.59,478800,9.59
2011-04-05,9.70,9.80,9.62,9.74,540200,9.74
2011-04-04,9.79,9.84,9.60,9.70,1261700,9.70
2011-04-01,9.36,9.67,9.36,9.60,576300,9.60
2011-03-31,9.25,9.36,8.99,9.34,494300,9.34
2011-03-30,8.89,9.44,8.84,9.25,584800,9.25
2011-03-29,8.52,8.76,8.36,8.76,432400,8.76
2011-03-28,8.52,8.77,8.52,8.58,421000,8.58
2011-03-25,8.38,8.65,8.25,8.60,481300,8.60
2011-03-24,7.98,8.31,7.93,8.23,522800,8.23
2011-03-23,7.99,8.39,7.84,7.88,533400,7.88
2011-03-22,7.80,7.96,7.79,7.94,400600,7.94
2011-03-21,8.00,8.04,7.65,7.77,457700,7.77
2011-03-18,7.47,7.89,7.28,7.79,1092700,7.79
2011-03-17,7.05,7.24,6.51,7.21,1282000,7.21
2011-03-16,6.50,7.44,6.47,7.09,1063000,7.09
2011-03-15,7.11,7.18,6.26,6.60,954100,6.60
2011-03-14,7.47,7.48,7.16,7.32,564700,7.32
2011-03-11,7.50,7.90,7.50,7.63,647900,7.63
2011-03-10,7.86,7.88,7.54,7.71,503300,7.71
2011-03-09,8.16,8.16,7.95,7.95,306000,7.95
2011-03-08,8.36,8.36,8.09,8.13,432600,8.13
2011-03-07,8.74,8.75,8.47,8.47,281300,8.47
2011-03-04,8.60,8.75,8.48,8.75,311800,8.75
2011-03-03,8.69,8.69,8.48,8.50,389600,8.50
2011-03-02,8.63,8.76,8.46,8.75,374400,8.75
2011-03-01,8.67,8.82,8.66,8.70,1131400,8.70
2011-02-28,8.78,8.78,8.61,8.70,114300,8.70
2011-02-25,8.57,8.78,8.42,8.63,286400,8.63
2011-02-24,8.63,8.68,8.51,8.51,211100,8.51
2011-02-23,8.76,8.83,8.55,8.67,514800,8.67
2011-02-22,9.15,9.15,8.85,8.92,359800,8.92
2011-02-21,9.28,9.36,9.02,9.11,375000,9.11
2011-02-18,9.24,9.40,9.24,9.35,212100,9.35
2011-02-17,9.41,9.41,9.23,9.25,257800,9.25
2011-02-16,9.38,9.39,9.21,9.31,257000,9.31
2011-02-15,9.33,9.43,9.25,9.38,165100,9.38
2011-02-14,9.34,9.43,9.30,9.36,191200,9.36
2011-02-11,9.47,9.48,9.32,9.36,167800,9.36
2011-02-10,9.50,9.58,9.45,9.49,201500,9.49
2011-02-09,9.54,9.60,9.37,9.50,463800,9.50
2011-02-08,9.52,9.54,9.35,9.51,204100,9.51
2011-02-07,9.48,9.48,9.32,9.44,181800,9.44
2011-02-04,9.40,9.59,9.37,9.44,467300,9.44
2011-02-03,9.44,9.45,9.26,9.34,487700,9.34
2011-02-02,9.33,9.49,9.29,9.48,323700,9.48
2011-02-01,9.11,9.28,9.06,9.18,334300,9.18
2011-01-31,9.25,9.28,9.07,9.17,282100,9.17
2011-01-28,9.67,9.67,9.26,9.27,370600,9.27
2011-01-27,9.71,9.72,9.50,9.58,205900,9.58
2011-01-25,9.90,9.93,9.83,9.86,526300,9.86
2011-01-24,9.90,9.92,9.56,9.90,749000,9.90
2011-01-21,9.85,9.94,9.62,9.77,518700,9.77
2011-01-20,9.89,9.90,9.78,9.85,369800,9.85
2011-01-19,9.75,9.94,9.69,9.89,833900,9.89
2011-01-18,9.45,9.73,9.45,9.70,264200,9.70
2011-01-17,9.54,9.60,9.35,9.44,302900,9.44
2011-01-14,9.60,9.66,9.53,9.59,146900,9.59
2011-01-13,9.62,9.79,9.57,9.66,334200,9.66
2011-01-12,9.20,9.57,9.20,9.57,281600,9.57
2011-01-11,9.37,9.40,9.13,9.20,337200,9.20
2011-01-10,9.45,9.50,9.35,9.46,150000,9.46
2011-01-07,9.50,9.59,9.42,9.52,239000,9.52
2011-01-06,9.70,9.74,9.49,9.52,383300,9.52
2011-01-05,9.79,9.86,9.57,9.68,366700,9.68
2011-01-04,9.85,9.90,9.77,9.80,447100,9.80
2010-12-31,9.75,9.90,9.75,9.85,154000,9.85
2010-12-30,9.83,9.91,9.79,9.87,160900,9.87
2010-12-29,9.70,9.89,9.70,9.86,140500,9.86
2010-12-24,9.74,9.89,9.71,9.77,89100,9.77
2010-12-23,9.90,9.91,9.79,9.89,231200,9.89
2010-12-22,9.81,9.90,9.75,9.83,197500,9.83
2010-12-21,9.60,9.90,9.55,9.90,409300,9.90
2010-12-20,9.51,9.88,9.51,9.55,882500,9.55
2010-12-17,9.98,9.98,9.45,9.56,1004200,9.56
2010-12-16,9.98,10.05,9.84,9.99,750400,9.99
2010-12-15,10.00,10.15,9.97,10.00,745900,10.00
2010-12-14,10.00,10.05,9.88,9.95,2222200,9.95
2010-12-13,9.95,10.10,9.90,10.09,441500,10.09
2010-12-10,10.23,10.23,10.00,10.01,433300,10.01
2010-12-09,10.23,10.24,10.17,10.20,474800,10.20
2010-12-08,10.25,10.27,10.18,10.23,660400,10.23
2010-12-07,10.05,10.22,9.98,10.17,569400,10.17
2010-12-06,10.17,10.29,10.09,10.15,445400,10.15
