Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,5.00,5.03,4.92,5.00,1420800,5.00
2011-05-13,5.11,5.15,5.05,5.15,1390000,5.15
2011-05-12,5.15,5.19,5.12,5.15,1489000,5.15
2011-05-11,5.29,5.29,5.20,5.24,1938200,5.24
2011-05-10,5.25,5.29,5.17,5.19,815500,5.19
2011-05-09,5.23,5.33,5.19,5.26,1257000,5.26
2011-05-06,5.29,5.36,5.25,5.29,1729600,5.29
2011-05-05,5.45,5.53,5.40,5.47,3738100,5.47
2011-05-04,5.03,5.05,4.90,4.94,2008200,4.94
2011-05-03,4.72,5.01,4.71,4.98,1881900,4.98
2011-05-02,4.93,4.95,4.70,4.84,1838300,4.84
2011-04-29,5.20,5.22,4.91,4.93,1711700,4.93
2011-04-28,5.26,5.30,5.16,5.17,641800,5.17
2011-04-27,5.28,5.30,5.13,5.17,1575300,5.17
2011-04-21,5.28,5.28,5.17,5.23,1105000,5.23
2011-04-20,5.16,5.30,5.15,5.28,1009700,5.28
2011-04-19,5.18,5.21,5.13,5.13,964200,5.13
2011-04-18,5.29,5.34,5.26,5.30,1021200,5.30
2011-04-15,5.25,5.33,5.20,5.31,1194200,5.31
2011-04-14,5.46,5.46,5.24,5.33,1262200,5.33
2011-04-13,5.40,5.51,5.39,5.44,4070200,5.44
2011-04-12,5.55,5.57,5.38,5.42,1569200,5.42
2011-04-11,5.60,5.64,5.56,5.57,633000,5.57
2011-04-08,5.60,5.63,5.56,5.60,2376800,5.60
2011-04-07,5.73,5.73,5.59,5.62,760300,5.62
2011-04-06,5.64,5.69,5.61,5.68,1215400,5.68
2011-04-05,5.59,5.63,5.55,5.57,1681900,5.57
2011-04-04,5.47,5.59,5.47,5.57,984800,5.57
2011-04-01,5.36,5.44,5.35,5.43,815000,5.43
2011-03-31,5.41,5.46,5.37,5.39,1267700,5.39
2011-03-30,5.46,5.48,5.41,5.46,1160000,5.46
2011-03-29,5.34,5.43,5.33,5.39,1914000,5.39
2011-03-28,5.61,5.73,5.32,5.42,2145600,5.42
2011-03-25,5.80,5.89,5.75,5.82,1087700,5.82
2011-03-24,5.70,5.80,5.66,5.74,751600,5.74
2011-03-23,5.70,5.73,5.60,5.62,582300,5.62
2011-03-22,5.67,5.70,5.60,5.65,946400,5.65
2011-03-21,5.67,5.67,5.54,5.60,1160300,5.60
2011-03-18,5.41,5.63,5.41,5.60,1703900,5.60
2011-03-17,5.38,5.45,5.12,5.37,2405000,5.37
2011-03-16,5.30,5.50,5.29,5.45,1451500,5.45
2011-03-15,5.46,5.46,5.28,5.34,2091000,5.34
2011-03-14,5.40,5.52,5.37,5.50,1456000,5.50
2011-03-11,5.53,5.66,5.53,5.63,1952100,5.63
2011-03-10,6.03,6.03,5.79,5.79,1639000,5.79
2011-03-09,6.16,6.19,6.08,6.17,1479000,6.17
2011-03-08,6.33,6.35,6.26,6.29,749000,6.29
2011-03-07,6.45,6.51,6.36,6.38,1815800,6.38
2011-03-04,6.59,6.61,6.49,6.51,1778900,6.51
2011-03-03,6.32,6.51,6.30,6.50,1447000,6.50
2011-03-02,6.34,6.38,6.23,6.34,1879800,6.34
2011-03-01,6.42,6.59,6.42,6.53,2547600,6.53
2011-02-28,6.45,6.49,6.37,6.49,736300,6.49
2011-02-25,6.35,6.43,6.31,6.38,1205000,6.38
2011-02-24,6.44,6.51,6.37,6.47,870600,6.47
2011-02-23,6.35,6.50,6.32,6.48,802600,6.48
2011-02-22,6.50,6.51,6.34,6.37,917900,6.37
2011-02-21,6.42,6.51,6.32,6.46,1594800,6.46
2011-02-18,6.58,6.60,6.45,6.56,1463400,6.56
2011-02-17,6.65,6.72,6.59,6.68,1195200,6.68
2011-02-16,6.61,6.69,6.58,6.67,1071400,6.67
2011-02-15,6.79,6.79,6.61,6.71,901800,6.71
2011-02-14,6.57,6.81,6.57,6.80,1552900,6.80
2011-02-11,6.46,6.48,6.38,6.39,1264900,6.39
2011-02-10,6.40,6.42,6.29,6.32,1864700,6.32
2011-02-09,6.50,6.58,6.36,6.43,2844000,6.43
2011-02-08,6.33,6.42,6.29,6.42,1250200,6.42
2011-02-07,6.22,6.32,6.19,6.23,687700,6.23
2011-02-04,6.04,6.21,6.04,6.19,1802700,6.19
2011-02-03,5.90,5.99,5.88,5.99,1660000,5.99
2011-02-02,5.74,5.79,5.72,5.79,4178300,5.79
2011-02-01,5.53,5.60,5.51,5.56,1109800,5.56
2011-01-31,5.56,5.59,5.52,5.56,1278500,5.56
2011-01-28,5.75,5.77,5.59,5.66,1746100,5.66
2011-01-27,5.60,5.60,5.48,5.51,1022600,5.51
2011-01-25,5.75,5.75,5.65,5.68,871200,5.68
2011-01-24,5.75,5.78,5.64,5.75,538700,5.75
2011-01-21,5.74,5.75,5.59,5.68,825400,5.68
2011-01-20,5.75,5.82,5.73,5.78,1466900,5.78
2011-01-19,5.83,5.84,5.76,5.83,1333300,5.83
2011-01-18,5.70,5.76,5.64,5.74,1475400,5.74
2011-01-17,5.84,5.84,5.60,5.64,756500,5.64
2011-01-14,5.70,5.84,5.67,5.80,1378000,5.80
2011-01-13,5.54,5.59,5.49,5.57,1196500,5.57
2011-01-12,5.30,5.50,5.28,5.43,1555300,5.43
2011-01-11,5.14,5.18,5.12,5.15,1309300,5.15
2011-01-10,5.20,5.20,5.10,5.14,538000,5.14
2011-01-07,5.28,5.28,5.10,5.14,556400,5.14
2011-01-06,5.30,5.30,5.17,5.22,906200,5.22
2011-01-05,5.29,5.34,5.24,5.26,908500,5.26
2011-01-04,5.42,5.47,5.31,5.35,870500,5.35
2010-12-31,5.34,5.36,5.28,5.35,450900,5.35
2010-12-30,5.31,5.34,5.28,5.29,653600,5.29
2010-12-29,5.30,5.30,5.22,5.27,458900,5.27
2010-12-24,5.35,5.36,5.26,5.26,244100,5.26
2010-12-23,5.31,5.35,5.25,5.32,535500,5.32
2010-12-22,5.40,5.42,5.32,5.32,284900,5.32
2010-12-21,5.31,5.54,5.28,5.36,1026900,5.36
2010-12-20,5.35,5.39,5.27,5.30,684800,5.30
2010-12-17,5.42,5.47,5.36,5.38,2500700,5.38
2010-12-16,5.42,5.51,5.42,5.46,1200400,5.46
2010-12-15,5.58,5.58,5.48,5.53,1210900,5.53
2010-12-14,5.51,5.59,5.47,5.54,798700,5.54
2010-12-13,5.52,5.59,5.42,5.47,1848700,5.47
2010-12-10,5.63,5.69,5.39,5.45,3756400,5.45
2010-12-09,5.90,5.96,5.88,5.93,1017000,5.93
2010-12-08,5.86,5.92,5.81,5.88,2285700,5.88
2010-12-07,5.72,5.86,5.69,5.81,868800,5.81
2010-12-06,5.68,5.70,5.63,5.65,624500,5.65
