Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,30.81,31.19,30.81,31.06,443900,31.06
2011-05-13,31.15,31.30,31.00,31.22,623000,31.22
2011-05-12,30.84,31.41,30.70,31.16,635700,31.16
2011-05-11,30.98,31.08,30.64,31.06,829500,31.06
2011-05-10,31.22,31.28,30.69,30.69,690500,30.69
2011-05-09,31.45,31.49,30.88,31.20,793200,31.20
2011-05-06,30.75,31.40,30.75,31.26,617900,31.26
2011-05-05,31.75,31.76,30.72,31.40,1239000,31.40
2011-05-04,31.56,31.95,31.52,31.81,783900,31.81
2011-05-03,31.94,31.94,31.41,31.76,1164400,31.76
2011-05-02,32.00,32.20,31.71,32.04,752100,32.04
2011-04-29,32.70,32.88,31.91,32.10,1510100,32.10
2011-04-28,32.96,33.09,32.53,32.68,783300,32.68
2011-04-27,33.50,33.50,32.96,33.08,904500,33.08
2011-04-21,33.00,33.13,32.73,33.13,927300,33.13
2011-04-20,32.50,32.77,32.45,32.77,566600,32.77
2011-04-19,32.65,32.89,32.39,32.39,829400,32.39
2011-04-18,32.90,33.08,32.65,32.99,967800,32.99
2011-04-15,32.72,32.97,32.63,32.75,807800,32.75
2011-04-14,33.11,33.23,32.68,32.89,1201700,32.89
2011-04-13,33.10,33.35,33.01,33.08,1226500,33.08
2011-04-12,33.50,33.75,33.01,33.12,1542500,33.12
2011-04-11,33.44,33.69,33.35,33.65,886200,33.65
2011-04-08,33.65,33.68,33.16,33.33,1520100,33.33
2011-04-07,33.90,33.90,33.20,33.48,2167300,33.48
2011-04-06,33.62,34.04,33.54,33.75,3544500,33.75
2011-04-05,34.85,34.99,33.35,33.70,2794400,33.70
2011-04-04,34.92,34.92,34.72,34.85,426100,34.85
2011-04-01,34.42,34.57,34.23,34.40,526800,34.40
2011-03-31,34.36,34.59,34.10,34.42,702700,34.42
2011-03-30,34.75,34.80,34.39,34.50,776000,34.50
2011-03-29,35.07,35.33,34.63,34.80,280100,34.80
2011-03-28,34.81,35.10,34.63,34.83,222500,34.83
2011-03-25,34.82,35.76,34.68,35.00,2024400,35.00
2011-03-24,34.85,35.00,34.43,34.61,258700,34.61
2011-03-23,34.30,34.69,34.01,34.53,568700,34.53
2011-03-22,34.19,34.57,34.18,34.36,517700,34.36
2011-03-21,34.57,34.64,33.91,34.18,1393900,34.18
2011-03-18,34.96,34.99,34.36,34.82,462200,34.82
2011-03-17,34.83,34.97,34.14,34.75,935500,34.75
2011-03-16,34.87,34.90,34.52,34.85,616700,34.85
2011-03-15,35.62,35.84,34.68,35.00,1017800,35.00
2011-03-14,35.63,35.82,35.36,35.78,478400,35.78
2011-03-11,35.75,36.03,35.58,35.84,497300,35.84
2011-03-10,36.20,36.36,35.70,35.95,828300,35.95
2011-03-09,36.92,36.92,36.28,36.36,931100,36.36
2011-03-08,36.17,36.58,36.07,36.58,427900,36.58
2011-03-07,36.57,37.10,36.20,36.36,610700,36.36
2011-03-04,35.98,36.89,35.86,36.75,1064000,36.75
2011-03-03,36.10,36.39,35.81,35.88,1053000,35.88
2011-03-02,36.04,36.05,35.61,35.68,861500,35.68
2011-03-01,36.58,36.75,35.82,35.95,832300,35.95
2011-02-28,36.40,36.60,36.05,36.45,524200,36.45
2011-02-25,37.12,37.29,36.90,37.15,965900,37.15
2011-02-24,37.48,37.62,37.05,37.12,1118100,37.12
2011-02-23,37.70,37.77,37.26,37.50,1020600,37.50
2011-02-22,38.60,38.63,37.54,37.94,1120400,37.94
2011-02-21,38.80,38.98,38.05,38.33,773200,38.33
2011-02-18,38.59,38.89,38.59,38.80,756500,38.80
2011-02-17,38.97,38.97,38.55,38.67,1131700,38.67
2011-02-16,39.18,39.18,38.32,38.70,1569300,38.70
2011-02-15,39.00,39.00,39.00,39.00,275600,39.00
2011-02-14,38.41,38.48,38.11,38.35,960500,38.35
2011-02-11,38.41,38.48,38.10,38.19,905800,38.19
2011-02-10,38.50,38.60,37.83,38.41,2534700,38.41
2011-02-09,37.00,37.02,36.70,36.70,978400,36.70
2011-02-08,36.75,36.82,36.57,36.62,502500,36.62
2011-02-07,36.96,37.00,36.62,36.80,488800,36.80
2011-02-04,36.90,37.09,36.78,37.00,617300,37.00
2011-02-03,37.15,37.15,36.83,36.95,381000,36.95
2011-02-02,37.40,37.53,36.95,37.10,901100,37.10
2011-02-01,37.16,37.42,37.09,37.22,558800,37.22
2011-01-31,37.21,37.48,36.93,37.36,370000,37.36
2011-01-28,37.24,37.79,37.24,37.63,1606800,37.63
2011-01-27,37.75,37.91,37.30,37.40,1215000,37.40
2011-01-25,37.70,37.90,37.47,37.90,541900,37.90
2011-01-24,37.79,37.95,37.41,37.79,316600,37.79
2011-01-21,37.70,37.86,37.44,37.57,579600,37.57
2011-01-20,37.29,37.83,37.12,37.75,759900,37.75
2011-01-19,37.05,37.36,36.84,37.30,740200,37.30
2011-01-18,36.20,37.08,36.20,36.90,457100,36.90
2011-01-17,36.61,36.74,36.32,36.48,1010000,36.48
2011-01-14,36.89,36.96,36.64,36.64,760700,36.64
2011-01-13,36.94,37.26,36.78,36.86,963400,36.86
2011-01-12,37.10,37.24,36.68,36.80,1159300,36.80
2011-01-11,37.34,37.52,37.17,37.25,730000,37.25
2011-01-10,37.90,37.90,37.40,37.60,555500,37.60
2011-01-07,37.80,37.93,37.62,37.85,1008600,37.85
2011-01-06,37.90,38.09,37.81,37.85,615900,37.85
2011-01-05,37.89,38.03,37.71,37.90,475600,37.90
2011-01-04,37.65,38.16,37.09,38.09,599200,38.09
2010-12-31,37.77,37.89,37.68,37.68,316800,37.68
2010-12-30,37.77,38.00,37.73,37.77,206000,37.77
2010-12-29,37.71,38.00,37.40,37.70,259800,37.70
2010-12-24,38.05,38.19,37.49,37.50,1543100,37.50
2010-12-23,38.05,38.23,37.90,38.00,1941300,38.00
2010-12-22,38.30,38.48,37.93,38.05,442600,38.05
2010-12-21,38.24,38.58,38.24,38.24,248600,38.24
2010-12-20,38.41,38.54,38.04,38.20,472700,38.20
2010-12-17,38.70,38.93,38.55,38.55,840800,38.55
2010-12-16,38.60,38.82,38.51,38.70,1216000,38.70
2010-12-15,38.80,39.05,38.35,38.50,864600,38.50
2010-12-14,38.33,38.80,38.27,38.50,595400,38.50
2010-12-13,38.40,38.67,38.20,38.20,312900,38.20
2010-12-10,38.00,38.41,37.93,38.41,583800,38.41
2010-12-09,38.00,38.20,37.84,37.98,429900,37.98
2010-12-08,37.98,38.07,37.81,37.95,771200,37.95
2010-12-07,38.04,38.10,37.90,37.98,398400,37.98
2010-12-06,37.98,38.10,37.81,37.90,523300,37.90
2010-12-03,37.95,38.09,37.77,37.93,279000,37.93
2010-12-02,37.90,38.05,37.58,37.99,589400,37.99
2010-12-01,37.78,37.90,37.58,37.81,529500,37.81
2010-11-30,37.72,38.25,37.70,37.82,838400,37.82
2010-11-29,37.99,38.11,37.70,38.05,981700,38.05
2010-11-26,37.61,38.20,37.51,38.03,2100400,38.03
