Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,2.32,2.35,2.30,2.30,11436800,2.30
2011-05-13,2.32,2.37,2.29,2.35,24575500,2.35
2011-05-12,2.32,2.32,2.26,2.26,17297200,2.26
2011-05-11,2.36,2.38,2.34,2.37,15770200,2.37
2011-05-10,2.27,2.33,2.26,2.30,16831800,2.30
2011-05-09,2.26,2.29,2.23,2.25,12728500,2.25
2011-05-06,2.23,2.28,2.21,2.23,13578200,2.23
2011-05-05,2.26,2.31,2.25,2.28,18449100,2.28
2011-05-04,2.31,2.32,2.23,2.26,35326400,2.26
2011-05-03,2.24,2.25,2.22,2.23,19376300,2.23
2011-05-02,2.25,2.27,2.20,2.25,25676800,2.25
2011-04-29,2.39,2.39,2.23,2.26,31243200,2.26
2011-04-28,2.42,2.42,2.32,2.34,14072000,2.34
2011-04-27,2.46,2.47,2.37,2.38,16589300,2.38
2011-04-21,2.43,2.45,2.40,2.45,13379800,2.45
2011-04-20,2.36,2.39,2.34,2.39,14629800,2.39
2011-04-19,2.37,2.38,2.32,2.32,22766400,2.32
2011-04-18,2.45,2.48,2.40,2.40,19396800,2.40
2011-04-15,2.48,2.52,2.44,2.45,15548300,2.45
2011-04-14,2.45,2.49,2.42,2.48,11588100,2.48
2011-04-13,2.50,2.52,2.48,2.50,26444800,2.50
2011-04-12,2.61,2.64,2.52,2.53,23119900,2.53
2011-04-11,2.70,2.72,2.65,2.69,11473200,2.69
2011-04-08,2.60,2.70,2.57,2.70,18526600,2.70
2011-04-07,2.64,2.65,2.57,2.60,18173000,2.60
2011-04-06,2.59,2.64,2.57,2.64,26961200,2.64
2011-04-05,2.56,2.58,2.55,2.57,13555300,2.57
2011-04-04,2.52,2.55,2.50,2.52,19041000,2.52
2011-04-01,2.48,2.53,2.46,2.50,14842500,2.50
2011-03-31,2.45,2.46,2.42,2.46,27731000,2.46
2011-03-30,2.40,2.43,2.38,2.43,14862600,2.43
2011-03-29,2.34,2.38,2.31,2.37,13510600,2.37
2011-03-28,2.36,2.37,2.33,2.35,9119800,2.35
2011-03-25,2.34,2.39,2.34,2.39,22929800,2.39
2011-03-24,2.29,2.31,2.27,2.29,14355800,2.29
2011-03-23,2.26,2.29,2.23,2.25,9177700,2.25
2011-03-22,2.25,2.29,2.24,2.27,15875100,2.27
2011-03-21,2.24,2.24,2.19,2.23,7933900,2.23
2011-03-18,2.23,2.24,2.12,2.23,20052300,2.23
2011-03-17,2.20,2.21,2.14,2.18,36843700,2.18
2011-03-16,2.20,2.25,2.19,2.23,23833900,2.23
2011-03-15,2.23,2.25,2.12,2.16,20182400,2.16
2011-03-14,2.20,2.22,2.15,2.20,15065000,2.20
2011-03-11,2.18,2.27,2.16,2.22,30840700,2.22
2011-03-10,2.34,2.35,2.22,2.22,21446400,2.22
2011-03-09,2.36,2.38,2.34,2.34,17110900,2.34
2011-03-08,2.37,2.40,2.35,2.35,29455000,2.35
2011-03-07,2.43,2.43,2.38,2.38,22445200,2.38
2011-03-04,2.43,2.46,2.43,2.45,10994200,2.45
2011-03-03,2.41,2.43,2.39,2.41,13393800,2.41
2011-03-02,2.38,2.40,2.35,2.40,17049200,2.40
2011-03-01,2.39,2.42,2.38,2.41,11881900,2.41
2011-02-28,2.41,2.41,2.37,2.38,3367200,2.38
2011-02-25,2.37,2.40,2.37,2.39,12969700,2.39
2011-02-24,2.37,2.39,2.35,2.37,8639100,2.37
2011-02-23,2.40,2.43,2.37,2.39,18491600,2.39
2011-02-22,2.48,2.48,2.42,2.42,13064500,2.42
2011-02-21,2.50,2.52,2.47,2.47,12916600,2.47
2011-02-18,2.51,2.53,2.51,2.53,6916800,2.53
2011-02-17,2.55,2.57,2.52,2.53,9379800,2.53
2011-02-16,2.54,2.55,2.51,2.53,7666800,2.53
2011-02-15,2.52,2.56,2.50,2.55,18305500,2.55
2011-02-14,2.54,2.57,2.49,2.55,34822400,2.55
2011-02-11,2.45,2.53,2.43,2.50,19390400,2.50
2011-02-10,2.43,2.48,2.42,2.46,20520500,2.46
2011-02-09,2.52,2.52,2.44,2.49,17263000,2.49
2011-02-08,2.54,2.55,2.50,2.52,7900000,2.52
2011-02-07,2.53,2.55,2.50,2.52,6649900,2.52
2011-02-04,2.54,2.56,2.50,2.52,13660500,2.52
2011-02-03,2.49,2.53,2.49,2.53,13386400,2.53
2011-02-02,2.45,2.51,2.44,2.47,19741200,2.47
2011-02-01,2.41,2.43,2.38,2.39,16246700,2.39
2011-01-31,2.38,2.39,2.35,2.38,13571800,2.38
2011-01-28,2.48,2.48,2.40,2.42,25279600,2.42
2011-01-27,2.46,2.50,2.44,2.47,18686700,2.47
2011-01-25,2.45,2.48,2.43,2.45,8776300,2.45
2011-01-24,2.42,2.43,2.39,2.42,7109100,2.42
2011-01-21,2.43,2.46,2.39,2.42,16855500,2.42
2011-01-20,2.46,2.46,2.41,2.44,13085000,2.44
2011-01-19,2.52,2.53,2.44,2.49,16813100,2.49
2011-01-18,2.44,2.52,2.41,2.51,17754900,2.51
2011-01-17,2.47,2.48,2.40,2.42,13398300,2.42
2011-01-14,2.45,2.47,2.42,2.46,10370700,2.46
2011-01-13,2.43,2.47,2.42,2.46,14074600,2.46
2011-01-12,2.45,2.45,2.36,2.39,26427400,2.39
2011-01-11,2.49,2.51,2.42,2.45,30987200,2.45
2011-01-10,2.55,2.58,2.54,2.56,11150900,2.56
2011-01-07,2.57,2.59,2.54,2.57,15553100,2.57
2011-01-06,2.63,2.65,2.57,2.59,18260700,2.59
2011-01-05,2.51,2.63,2.51,2.62,31751700,2.62
2011-01-04,2.53,2.56,2.50,2.50,14957400,2.50
2010-12-31,2.51,2.52,2.48,2.48,4025900,2.48
2010-12-30,2.48,2.53,2.46,2.51,12996600,2.51
2010-12-29,2.50,2.50,2.47,2.48,6411200,2.48
2010-12-24,2.53,2.53,2.48,2.49,44349800,2.49
2010-12-23,2.56,2.58,2.48,2.50,17485200,2.50
2010-12-22,2.58,2.59,2.55,2.58,12539300,2.58
2010-12-21,2.52,2.59,2.50,2.57,34700800,2.57
2010-12-20,2.67,2.67,2.52,2.53,32812700,2.53
2010-12-17,2.49,2.64,2.43,2.61,45080200,2.61
2010-12-16,2.41,2.52,2.39,2.50,59499900,2.50
2010-12-15,2.34,2.41,2.33,2.38,50728100,2.38
2010-12-14,2.27,2.30,2.25,2.30,23458200,2.30
2010-12-13,2.23,2.27,2.21,2.23,13855900,2.23
2010-12-10,2.17,2.22,2.16,2.20,40890800,2.20
2010-12-09,2.16,2.18,2.14,2.15,18698000,2.15
2010-12-08,2.13,2.19,2.12,2.14,29340400,2.14
2010-12-07,2.11,2.14,2.10,2.13,9544800,2.13
2010-12-06,2.09,2.13,2.08,2.13,13429900,2.13
2010-12-03,2.11,2.14,2.07,2.07,18215400,2.07
2010-12-02,2.05,2.09,2.05,2.08,16859200,2.08
2010-12-01,2.00,2.03,2.00,2.01,10222800,2.01
2010-11-30,2.00,2.04,1.99,1.99,14216600,1.99
2010-11-29,2.00,2.02,1.98,2.00,11832000,2.00
2010-11-26,2.04,2.08,2.01,2.02,21233100,2.02
2010-11-25,2.04,2.07,2.02,2.04,12436300,2.04
2010-11-24,1.99,2.04,1.98,2.02,15573800,2.02
2010-11-23,2.06,2.07,1.99,2.02,25582800,2.02
2010-11-22,2.12,2.15,2.05,2.07,23205000,2.07
2010-11-19,2.09,2.12,2.08,2.09,18043700,2.09
2010-11-18,2.00,2.08,2.00,2.06,17612700,2.06
2010-11-17,2.01,2.03,2.00,2.00,20703200,2.00
2010-11-16,2.11,2.13,2.05,2.08,19194300,2.08
2010-11-15,2.09,2.16,2.09,2.11,12238700,2.11
2010-11-12,2.17,2.19,2.09,2.10,22907700,2.10
2010-11-11,2.13,2.19,2.11,2.18,20288600,2.18
2010-11-10,2.14,2.16,2.10,2.11,15542900,2.11
2010-11-09,2.21,2.22,2.13,2.14,23551700,2.14
2010-11-08,2.23,2.25,2.16,2.20,16705300,2.20
2010-11-05,2.22,2.28,2.16,2.22,30193800,2.22
2010-11-04,2.06,2.19,2.06,2.16,30410400,2.16
2010-11-03,2.02,2.06,2.02,2.05,9400800,2.05
2010-11-02,2.03,2.03,2.00,2.01,10114900,2.01
2010-11-01,2.04,2.07,2.03,2.03,12831100,2.03
2010-10-29,2.06,2.08,2.02,2.03,44285600,2.03
2010-10-28,2.00,2.06,2.00,2.05,23504900,2.05
2010-10-27,2.02,2.04,1.98,1.98,13682700,1.98
2010-10-26,2.04,2.06,2.01,2.02,15938900,2.02
2010-10-25,2.01,2.06,2.00,2.05,12859600,2.05
2010-10-22,2.00,2.02,1.99,2.02,16638300,2.02
2010-10-21,2.02,2.04,2.00,2.00,14431300,2.00
2010-10-20,1.98,2.01,1.97,2.00,19886400,2.00
2010-10-19,2.04,2.06,2.03,2.03,11190400,2.03
2010-10-18,2.05,2.08,2.03,2.04,17442000,2.04
2010-10-15,2.04,2.09,2.01,2.06,18017500,2.06
2010-10-14,2.03,2.08,2.02,2.06,20749100,2.06
2010-10-13,2.03,2.03,2.00,2.00,21570700,2.00
2010-10-12,2.05,2.05,1.98,1.99,30868000,1.99
2010-10-11,2.02,2.08,2.02,2.03,54906900,2.03
2010-10-08,1.90,1.99,1.89,1.99,36097100,1.99
2010-10-07,1.88,1.92,1.88,1.91,19807300,1.91
2010-10-06,1.85,1.88,1.84,1.88,15920300,1.88
2010-10-05,1.80,1.82,1.78,1.82,10343800,1.82
2010-10-04,1.82,1.85,1.82,1.84,4714500,1.84
2010-10-01,1.80,1.84,1.80,1.81,9257000,1.81
2010-09-30,1.84,1.84,1.80,1.81,14608100,1.81
2010-09-29,1.85,1.87,1.83,1.84,23948500,1.84
2010-09-28,1.85,1.87,1.84,1.84,17859500,1.84
2010-09-27,1.86,1.87,1.85,1.86,14341700,1.86
2010-09-24,1.83,1.84,1.78,1.82,29237300,1.82
2010-09-23,1.84,1.86,1.83,1.84,13668800,1.84
2010-09-22,1.86,1.87,1.82,1.83,20442700,1.83
2010-09-21,1.90,1.91,1.87,1.87,12976200,1.87
2010-09-20,1.88,1.89,1.87,1.88,15440700,1.88
2010-09-17,1.91,1.91,1.89,1.90,31674900,1.90
2010-09-16,1.95,1.96,1.90,1.91,39762700,1.91
2010-09-15,1.87,1.96,1.87,1.96,33359100,1.96
2010-09-14,1.87,1.88,1.85,1.87,14490600,1.87
2010-09-13,1.87,1.88,1.84,1.87,14050500,1.87
2010-09-10,1.83,1.87,1.83,1.84,13171100,1.84
2010-09-09,1.88,1.88,1.81,1.84,21358300,1.84
2010-09-08,1.81,1.87,1.79,1.85,30417000,1.85
2010-09-07,1.82,1.84,1.79,1.82,12755800,1.82
2010-09-06,1.84,1.85,1.80,1.83,15510300,1.83
2010-09-03,1.77,1.82,1.75,1.82,48674700,1.82
2010-09-02,1.81,1.82,1.76,1.77,20263700,1.77
2010-09-01,1.75,1.78,1.73,1.77,23377700,1.77
2010-08-31,1.72,1.75,1.72,1.72,15714100,1.72
2010-08-30,1.71,1.75,1.70,1.75,14468000,1.75
2010-08-27,1.62,1.70,1.61,1.69,37116200,1.69
2010-08-26,1.69,1.71,1.63,1.64,45212600,1.64
2010-08-25,1.72,1.73,1.68,1.68,28770700,1.68
2010-08-24,1.77,1.77,1.75,1.75,13559400,1.75
2010-08-23,1.76,1.81,1.76,1.79,20042800,1.79
2010-08-20,1.77,1.78,1.73,1.75,31300900,1.75
2010-08-19,1.77,1.78,1.75,1.78,52108000,1.78
2010-08-18,1.78,1.78,1.76,1.77,33148700,1.77
2010-08-17,1.74,1.78,1.73,1.75,24273800,1.75
2010-08-16,1.74,1.76,1.70,1.76,26350000,1.76
2010-08-13,1.68,1.77,1.68,1.75,50743400,1.75
2010-08-12,1.63,1.72,1.62,1.68,51965700,1.66
2010-08-11,1.63,1.68,1.62,1.67,32958200,1.65
2010-08-10,1.64,1.69,1.63,1.63,36675900,1.61
2010-08-09,1.63,1.65,1.62,1.64,16066000,1.62
2010-08-06,1.63,1.64,1.62,1.64,8971700,1.62
2010-08-05,1.63,1.64,1.62,1.64,11353100,1.62
2010-08-04,1.62,1.62,1.61,1.61,8801500,1.59
2010-08-03,1.63,1.64,1.62,1.63,18415600,1.61
2010-08-02,1.57,1.60,1.57,1.60,12274600,1.57
2010-07-30,1.57,1.57,1.55,1.55,13208600,1.53
2010-07-29,1.57,1.59,1.57,1.58,8287000,1.55
2010-07-28,1.57,1.60,1.55,1.59,13674800,1.57
2010-07-27,1.60,1.62,1.58,1.58,14926900,1.56
2010-07-26,1.58,1.60,1.56,1.60,15041700,1.57
2010-07-23,1.53,1.57,1.52,1.55,15483800,1.53
2010-07-22,1.50,1.51,1.49,1.50,6029600,1.49
2010-07-21,1.53,1.53,1.50,1.51,9755000,1.49
2010-07-20,1.48,1.52,1.48,1.51,11061000,1.49
2010-07-19,1.47,1.48,1.45,1.47,14141100,1.45
2010-07-16,1.50,1.52,1.48,1.49,15724100,1.47
2010-07-15,1.52,1.52,1.50,1.50,20934400,1.48
2010-07-14,1.57,1.58,1.51,1.53,38438400,1.51
2010-07-13,1.59,1.59,1.54,1.54,14764800,1.52
2010-07-12,1.55,1.58,1.52,1.55,16642500,1.53
2010-07-09,1.52,1.57,1.51,1.56,11585900,1.54
2010-07-08,1.51,1.53,1.50,1.51,15264000,1.49
2010-07-07,1.52,1.52,1.47,1.49,18396100,1.47
2010-07-06,1.51,1.52,1.50,1.52,10765200,1.50
2010-07-05,1.51,1.54,1.51,1.52,6187500,1.50
2010-07-02,1.51,1.54,1.50,1.51,19085000,1.49
2010-07-01,1.50,1.53,1.47,1.50,27029000,1.48
2010-06-30,1.54,1.54,1.52,1.52,17556500,1.50
2010-06-29,1.61,1.61,1.57,1.57,13872600,1.55
2010-06-28,1.59,1.61,1.57,1.61,14485300,1.59
2010-06-25,1.57,1.61,1.57,1.59,17736900,1.56
2010-06-24,1.63,1.64,1.60,1.61,13962600,1.58
2010-06-23,1.62,1.63,1.61,1.62,12068700,1.60
2010-06-22,1.66,1.67,1.64,1.65,14327900,1.63
2010-06-21,1.63,1.67,1.63,1.67,13324700,1.65
2010-06-18,1.61,1.62,1.59,1.62,10445900,1.59
2010-06-17,1.60,1.62,1.59,1.60,16021500,1.58
2010-06-16,1.62,1.63,1.62,1.62,13822600,1.60
2010-06-15,1.57,1.61,1.55,1.59,13752100,1.57
2010-06-11,1.58,1.58,1.55,1.57,11199000,1.54
2010-06-10,1.54,1.57,1.53,1.55,15607700,1.53
2010-06-09,1.56,1.57,1.51,1.52,22535600,1.50
2010-06-08,1.53,1.58,1.53,1.55,19471000,1.53
2010-06-07,1.53,1.55,1.52,1.53,15586500,1.51
2010-06-04,1.61,1.62,1.59,1.59,17659400,1.57
2010-06-03,1.68,1.70,1.64,1.65,24196400,1.63
2010-06-02,1.65,1.68,1.62,1.63,15762700,1.61
2010-06-01,1.68,1.68,1.65,1.68,16983700,1.66
