Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,1.41,1.41,1.34,1.35,3489700,1.35
2011-05-13,1.46,1.47,1.41,1.42,2204800,1.42
2011-05-12,1.48,1.48,1.45,1.45,1665300,1.45
2011-05-11,1.49,1.50,1.47,1.50,1551200,1.50
2011-05-10,1.50,1.51,1.46,1.47,1939300,1.47
2011-05-09,1.48,1.52,1.48,1.49,2011900,1.49
2011-05-06,1.47,1.51,1.45,1.48,1861300,1.48
2011-05-05,1.49,1.49,1.46,1.48,3707100,1.48
2011-05-04,1.51,1.52,1.49,1.49,1815100,1.49
2011-05-03,1.55,1.56,1.51,1.52,1980600,1.52
2011-05-02,1.57,1.59,1.52,1.55,2261900,1.55
2011-04-29,1.59,1.60,1.54,1.56,2408700,1.56
2011-04-28,1.62,1.62,1.58,1.58,1870600,1.58
2011-04-27,1.64,1.65,1.61,1.62,3312200,1.62
2011-04-21,1.64,1.64,1.61,1.63,1905100,1.63
2011-04-20,1.59,1.62,1.59,1.61,2541700,1.61
2011-04-19,1.62,1.63,1.59,1.59,2056600,1.59
2011-04-18,1.64,1.66,1.63,1.64,1541000,1.64
2011-04-15,1.65,1.67,1.63,1.65,1700200,1.65
2011-04-14,1.65,1.67,1.64,1.67,1119600,1.67
2011-04-13,1.65,1.67,1.61,1.66,2462000,1.66
2011-04-12,1.70,1.70,1.63,1.64,2239000,1.64
2011-04-11,1.72,1.77,1.70,1.71,2559400,1.71
2011-04-08,1.72,1.73,1.70,1.72,1276300,1.72
2011-04-07,1.74,1.74,1.68,1.68,2325600,1.68
2011-04-06,1.75,1.75,1.71,1.74,1210000,1.74
2011-04-05,1.74,1.75,1.74,1.75,846500,1.75
2011-04-04,1.72,1.75,1.72,1.75,2935900,1.75
2011-04-01,1.72,1.73,1.71,1.72,1363700,1.72
2011-03-31,1.71,1.74,1.71,1.74,1441800,1.74
2011-03-30,1.71,1.72,1.70,1.72,1173500,1.72
2011-03-29,1.68,1.71,1.66,1.70,1633200,1.70
2011-03-28,1.70,1.72,1.68,1.70,3018200,1.70
2011-03-25,1.69,1.72,1.67,1.70,3450400,1.70
2011-03-24,1.62,1.67,1.60,1.66,5264100,1.66
2011-03-23,1.58,1.62,1.56,1.60,3741600,1.60
2011-03-22,1.58,1.60,1.54,1.55,2990900,1.55
2011-03-21,1.56,1.60,1.55,1.57,2464100,1.57
2011-03-18,1.54,1.60,1.54,1.56,5997700,1.56
2011-03-17,1.51,1.53,1.46,1.51,5817900,1.51
2011-03-16,1.49,1.54,1.46,1.52,4906900,1.52
2011-03-15,1.57,1.60,1.48,1.49,2678500,1.49
2011-03-14,1.61,1.62,1.54,1.59,1914700,1.59
2011-03-11,1.63,1.66,1.59,1.62,4302900,1.62
2011-03-10,1.68,1.70,1.62,1.65,3594700,1.65
2011-03-09,1.72,1.73,1.68,1.68,1340300,1.68
2011-03-08,1.70,1.73,1.70,1.72,1467100,1.72
2011-03-07,1.75,1.75,1.71,1.72,1919500,1.72
2011-03-04,1.75,1.76,1.73,1.75,4958300,1.75
2011-03-03,1.64,1.74,1.64,1.73,4191900,1.73
2011-03-02,1.63,1.64,1.61,1.62,2641700,1.62
2011-03-01,1.66,1.67,1.63,1.63,2805700,1.63
2011-02-28,1.64,1.67,1.64,1.66,1835900,1.66
2011-02-25,1.66,1.67,1.61,1.63,2746400,1.63
2011-02-24,1.71,1.72,1.65,1.66,3171200,1.66
2011-02-23,1.75,1.75,1.66,1.72,4368500,1.72
2011-02-22,1.78,1.79,1.73,1.76,2252200,1.76
2011-02-21,1.82,1.82,1.77,1.79,2575200,1.79
2011-02-18,1.81,1.83,1.80,1.82,1946600,1.82
2011-02-17,1.85,1.86,1.83,1.84,3554700,1.84
2011-02-16,1.87,1.88,1.84,1.85,2136900,1.85
2011-02-15,1.86,1.88,1.84,1.87,1897900,1.87
2011-02-14,1.77,1.87,1.75,1.86,2847600,1.86
2011-02-11,1.84,1.88,1.83,1.88,1744600,1.88
2011-02-10,1.85,1.86,1.85,1.85,1350900,1.85
2011-02-09,1.85,1.86,1.83,1.85,3355900,1.85
2011-02-08,1.85,1.87,1.84,1.85,1542300,1.85
2011-02-07,1.86,1.86,1.83,1.85,1343300,1.85
2011-02-04,1.86,1.88,1.85,1.87,3734500,1.87
2011-02-03,1.75,1.86,1.75,1.86,4526700,1.86
2011-02-02,1.72,1.76,1.72,1.75,1716700,1.75
2011-02-01,1.77,1.78,1.71,1.72,3573200,1.72
2011-01-31,1.80,1.80,1.75,1.78,1410900,1.78
2011-01-28,1.80,1.80,1.77,1.78,1778600,1.78
2011-01-27,1.80,1.82,1.77,1.82,1575500,1.82
2011-01-25,1.76,1.81,1.75,1.81,2680100,1.81
2011-01-24,1.75,1.75,1.74,1.75,1329400,1.75
2011-01-21,1.77,1.79,1.75,1.76,2461000,1.76
2011-01-20,1.77,1.79,1.73,1.78,3706800,1.78
2011-01-19,1.75,1.78,1.74,1.78,2432000,1.78
2011-01-18,1.72,1.75,1.72,1.75,4417600,1.75
2011-01-17,1.74,1.75,1.72,1.72,1852400,1.72
2011-01-14,1.72,1.75,1.72,1.73,2674200,1.73
2011-01-13,1.73,1.75,1.73,1.74,2851400,1.74
2011-01-12,1.73,1.74,1.72,1.72,1488800,1.72
2011-01-11,1.74,1.75,1.72,1.72,1661800,1.72
2011-01-10,1.77,1.77,1.75,1.75,1503600,1.75
2011-01-07,1.77,1.78,1.76,1.76,1180200,1.76
2011-01-06,1.79,1.79,1.76,1.77,1433500,1.77
2011-01-05,1.77,1.78,1.75,1.78,1512200,1.78
2011-01-04,1.78,1.79,1.76,1.77,2108500,1.77
2010-12-31,1.77,1.78,1.75,1.77,846200,1.77
2010-12-30,1.75,1.78,1.75,1.76,1614100,1.76
2010-12-29,1.75,1.76,1.73,1.74,840000,1.74
2010-12-24,1.78,1.78,1.75,1.75,1194900,1.75
2010-12-23,1.76,1.79,1.76,1.77,2442300,1.77
2010-12-22,1.77,1.78,1.75,1.76,1344400,1.76
2010-12-21,1.79,1.79,1.76,1.77,2117000,1.77
2010-12-20,1.78,1.81,1.77,1.77,2013500,1.77
2010-12-17,1.80,1.80,1.76,1.76,5056900,1.76
2010-12-16,1.78,1.79,1.77,1.79,3239200,1.79
2010-12-15,1.78,1.80,1.76,1.77,3482900,1.77
2010-12-14,1.82,1.83,1.79,1.79,2518200,1.79
2010-12-13,1.82,1.83,1.80,1.82,1787600,1.82
2010-12-10,1.82,1.83,1.75,1.79,3798000,1.79
2010-12-09,1.81,1.84,1.76,1.83,4549600,1.83
2010-12-08,1.80,1.83,1.78,1.80,5285000,1.80
2010-12-07,1.76,1.84,1.76,1.83,4732600,1.83
2010-12-06,1.75,1.77,1.75,1.75,2087100,1.75
2010-12-03,1.70,1.75,1.69,1.74,4709900,1.74
2010-12-02,1.65,1.70,1.65,1.68,4092700,1.68
