Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,0.02,0.02,0.02,0.02,10000,0.02
2011-05-13,0.02,0.02,0.02,0.02,000,0.02
2011-05-12,0.02,0.02,0.02,0.02,000,0.02
2011-05-11,0.02,0.02,0.02,0.02,000,0.02
2011-05-10,0.02,0.02,0.02,0.02,000,0.02
2011-05-09,0.02,0.02,0.02,0.02,500000,0.02
2011-05-06,0.02,0.02,0.02,0.02,453400,0.02
2011-05-05,0.02,0.02,0.02,0.02,000,0.02
2011-05-04,0.02,0.02,0.02,0.02,000,0.02
2011-05-03,0.02,0.02,0.02,0.02,000,0.02
2011-05-02,0.02,0.02,0.02,0.02,346500,0.02
2011-04-29,0.02,0.02,0.02,0.02,000,0.02
2011-04-28,0.02,0.02,0.02,0.02,000,0.02
2011-04-27,0.02,0.02,0.02,0.02,8000,0.02
2011-04-21,0.02,0.02,0.02,0.02,10000,0.02
2011-04-20,0.02,0.02,0.02,0.02,440000,0.02
2011-04-19,0.02,0.02,0.02,0.02,20000,0.02
2011-04-18,0.02,0.02,0.02,0.02,000,0.02
2011-04-15,0.02,0.02,0.02,0.02,000,0.02
2011-04-14,0.02,0.02,0.02,0.02,000,0.02
2011-04-13,0.02,0.02,0.02,0.02,000,0.02
2011-04-12,0.02,0.02,0.02,0.02,40000,0.02
2011-04-11,0.02,0.02,0.02,0.02,183300,0.02
2011-04-08,0.02,0.02,0.02,0.02,28500,0.02
2011-04-07,0.02,0.02,0.02,0.02,350000,0.02
2011-04-06,0.02,0.02,0.02,0.02,28500,0.02
2011-04-05,0.02,0.02,0.02,0.02,100000,0.02
2011-04-04,0.02,0.02,0.02,0.02,2500,0.02
2011-04-01,0.02,0.02,0.02,0.02,000,0.02
2011-03-31,0.02,0.02,0.02,0.02,000,0.02
2011-03-30,0.02,0.02,0.02,0.02,000,0.02
2011-03-29,0.02,0.02,0.02,0.02,163100,0.02
2011-03-28,0.02,0.02,0.02,0.02,825000,0.02
2011-03-25,0.02,0.02,0.02,0.02,6800,0.02
2011-03-24,0.02,0.02,0.02,0.02,000,0.02
2011-03-23,0.02,0.02,0.02,0.02,125000,0.02
2011-03-22,0.02,0.02,0.02,0.02,000,0.02
2011-03-21,0.02,0.02,0.02,0.02,180000,0.02
2011-03-18,0.02,0.02,0.02,0.02,895000,0.02
2011-03-17,0.02,0.02,0.02,0.02,000,0.02
2011-03-16,0.02,0.02,0.02,0.02,000,0.02
2011-03-15,0.02,0.02,0.02,0.02,274000,0.02
2011-03-11,0.02,0.02,0.02,0.02,000,0.02
2011-03-10,0.02,0.02,0.02,0.02,120400,0.02
2011-03-09,0.02,0.02,0.02,0.02,33300,0.02
2011-03-08,0.02,0.02,0.02,0.02,66600,0.02
2011-03-04,0.02,0.02,0.02,0.02,000,0.02
2011-03-03,0.02,0.02,0.02,0.02,000,0.02
2011-03-02,0.02,0.02,0.02,0.02,000,0.02
2011-03-01,0.02,0.02,0.02,0.02,000,0.02
2011-02-28,0.02,0.02,0.02,0.02,000,0.02
2011-02-25,0.02,0.02,0.02,0.02,000,0.02
