Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,8.91,8.99,8.81,8.93,611200,8.93
2011-05-13,9.03,9.09,8.96,9.09,584800,9.09
2011-05-12,9.09,9.11,9.02,9.02,641000,9.02
2011-05-11,9.19,9.19,9.04,9.13,651300,9.13
2011-05-10,9.20,9.21,8.99,9.03,637200,9.03
2011-05-09,9.30,9.32,9.11,9.13,514500,9.13
2011-05-06,9.25,9.28,9.11,9.17,930800,9.17
2011-05-05,9.04,9.14,8.97,9.09,626500,9.09
2011-05-04,9.27,9.27,8.99,8.99,956600,8.99
2011-05-03,9.28,9.28,9.15,9.16,716700,9.16
2011-05-02,9.36,9.42,9.21,9.30,612800,9.30
2011-04-29,9.50,9.50,9.25,9.34,831300,9.34
2011-04-28,9.41,9.49,9.34,9.38,691000,9.38
2011-04-27,9.53,9.53,9.35,9.39,538300,9.39
2011-04-21,9.43,9.46,9.35,9.46,1117100,9.46
2011-04-20,9.20,9.27,9.17,9.27,861000,9.27
2011-04-19,9.26,9.28,9.16,9.16,1020100,9.16
2011-04-18,9.39,9.39,9.29,9.29,647300,9.29
2011-04-15,9.48,9.48,9.31,9.31,736700,9.31
2011-04-14,9.51,9.55,9.33,9.44,1199600,9.44
2011-04-13,9.56,9.60,9.46,9.51,1377900,9.51
2011-04-12,9.58,9.64,9.46,9.47,955500,9.47
2011-04-11,9.65,9.65,9.46,9.50,652100,9.50
2011-04-08,9.60,9.65,9.54,9.64,589100,9.64
2011-04-07,9.65,9.65,9.55,9.59,780200,9.59
2011-04-06,9.55,9.65,9.51,9.63,887000,9.63
2011-04-05,9.58,9.59,9.48,9.57,1207000,9.57
2011-04-04,9.54,9.56,9.49,9.51,604100,9.51
2011-04-01,9.53,9.53,9.44,9.45,555200,9.45
2011-03-31,9.54,9.54,9.45,9.53,1408100,9.53
2011-03-30,9.29,9.52,9.22,9.44,1110100,9.44
2011-03-29,9.17,9.23,9.13,9.20,605500,9.20
2011-03-28,9.13,9.25,9.13,9.17,406500,9.17
2011-03-25,9.12,9.25,9.04,9.19,813900,9.19
2011-03-24,9.09,9.12,8.96,9.08,638500,9.08
2011-03-23,9.12,9.12,8.95,9.06,719600,9.06
2011-03-22,9.14,9.19,9.02,9.08,822700,9.08
2011-03-21,8.99,9.12,8.93,9.08,1030600,9.08
2011-03-18,8.95,8.95,8.80,8.89,979700,8.89
2011-03-17,8.99,8.99,8.72,8.85,1954400,8.85
