Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,43.50,43.80,43.42,43.52,10727200,43.52
2011-05-13,44.13,44.32,43.80,44.32,11823100,44.32
2011-05-12,44.44,44.48,44.12,44.13,13532000,44.13
2011-05-11,45.01,45.42,44.86,45.30,10893900,45.30
2011-05-10,44.96,45.10,44.50,44.53,10017400,44.53
2011-05-09,44.87,45.21,44.75,44.75,9585500,44.75
2011-05-06,44.38,44.81,44.24,44.58,15228300,44.58
2011-05-05,44.90,45.52,44.87,45.44,8245800,45.44
2011-05-04,45.10,45.35,44.99,45.15,13019300,45.15
2011-05-03,45.70,45.73,45.42,45.50,14800500,45.50
2011-05-02,46.00,46.27,45.33,46.15,13325400,46.15
2011-04-29,46.40,46.41,45.45,45.83,28902100,45.83
2011-04-28,46.60,46.75,46.25,46.29,16095800,46.29
2011-04-27,47.40,47.45,46.45,46.45,24292200,46.45
2011-04-21,47.64,47.64,47.17,47.32,13448000,47.32
2011-04-20,46.95,47.37,46.91,47.23,12527700,47.23
2011-04-19,46.78,46.83,46.57,46.67,15107700,46.67
2011-04-18,47.33,47.81,47.14,47.49,22206000,47.49
2011-04-15,47.73,47.86,47.38,47.53,15595800,47.53
2011-04-14,47.75,48.09,47.62,48.01,20410000,48.01
2011-04-13,48.15,48.78,48.09,48.58,26952700,48.58
2011-04-12,49.07,49.33,48.62,48.89,32194400,48.89
2011-04-11,47.99,49.81,47.75,49.55,52464000,49.55
2011-04-08,47.33,47.76,47.14,47.76,20530200,47.76
2011-04-07,47.88,47.90,47.52,47.68,15582400,47.68
2011-04-06,47.45,48.03,47.37,47.95,21472900,47.95
2011-04-05,47.27,47.59,47.17,47.55,17169400,47.55
2011-04-04,46.88,47.19,46.81,46.88,14040900,46.88
2011-04-01,46.46,46.90,46.42,46.68,12273200,46.68
2011-03-31,45.97,46.75,45.90,46.56,20487500,46.56
2011-03-30,45.05,45.82,45.00,45.61,13261000,45.61
2011-03-29,44.29,44.74,44.08,44.70,10542000,44.70
2011-03-28,44.29,44.54,44.23,44.45,6959200,44.45
2011-03-25,44.86,44.99,44.10,44.76,21413300,44.76
2011-03-24,44.48,44.74,44.42,44.71,10210600,44.71
2011-03-23,43.98,44.26,43.88,44.20,10140100,44.20
2011-03-22,44.59,44.66,44.07,44.20,10773800,44.20
2011-03-21,44.35,44.64,44.11,44.50,7092300,44.50
2011-03-18,44.47,44.75,44.23,44.56,13984900,44.56
2011-03-17,43.29,43.80,42.89,43.70,20945100,43.70
2011-03-16,43.52,44.10,43.43,43.57,13644000,43.57
2011-03-15,44.00,44.21,42.20,42.97,13214300,42.97
2011-03-14,43.80,44.09,43.16,44.09,12642100,44.09
2011-03-11,44.20,44.41,43.92,44.19,14228000,44.19
2011-03-10,45.62,45.75,44.57,44.63,15402900,44.63
2011-03-09,46.26,46.26,45.85,46.00,11286500,46.00
2011-03-08,46.30,46.59,46.25,46.59,9310200,46.59
2011-03-07,46.71,46.85,46.24,46.32,17770900,46.32
2011-03-04,47.24,47.29,47.09,47.25,8504200,47.25
2011-03-03,46.33,46.60,46.20,46.55,8442300,46.55
2011-03-02,45.97,46.08,45.86,46.05,8895000,46.05
2011-03-01,46.43,46.62,46.34,46.37,11107600,46.37
2011-02-28,46.16,46.24,45.90,46.11,7876700,46.11
2011-02-25,45.57,46.09,45.56,45.95,21276700,45.95
2011-02-24,46.19,46.33,45.87,45.99,29197300,45.99
2011-02-23,46.24,46.81,46.20,46.57,35072500,46.57
2011-02-22,46.75,47.42,46.49,46.58,37282600,46.58
2011-02-21,45.61,45.85,45.50,45.85,11795800,45.85
2011-02-18,46.37,46.61,46.27,46.56,7568100,46.56
2011-02-17,46.66,46.80,46.60,46.64,9144500,46.64
2011-02-16,46.92,47.00,46.41,46.59,17002700,46.59
2011-02-15,47.52,47.63,47.19,47.36,10176900,47.36
2011-02-14,46.82,47.47,46.81,47.28,8811000,47.28
2011-02-11,46.48,46.77,46.38,46.38,7452100,46.38
2011-02-10,46.44,46.77,46.36,46.76,8288300,46.76
2011-02-09,47.13,47.22,46.65,46.74,11148800,46.74
2011-02-08,46.91,47.09,46.76,46.98,11468100,46.98
2011-02-07,46.44,46.55,46.35,46.55,7987700,46.55
2011-02-04,46.50,46.79,46.37,46.67,12958400,46.67
2011-02-03,46.10,46.46,46.09,46.32,14094400,46.32
2011-02-02,45.27,45.84,45.18,45.70,14309300,45.70
2011-02-01,44.55,44.82,44.44,44.62,13188300,44.62
2011-01-31,43.93,44.25,43.80,44.25,10468500,44.25
2011-01-28,45.02,45.07,44.37,44.69,20397200,44.69
2011-01-27,45.20,45.30,44.94,45.17,11209900,45.17
2011-01-25,45.07,45.37,45.00,45.05,9393700,45.05
2011-01-24,44.92,45.04,44.32,44.92,9455200,44.92
2011-01-21,44.60,44.73,44.24,44.71,13545700,44.71
2011-01-20,45.40,45.45,45.10,45.19,10043800,45.19
2011-01-19,45.72,46.10,45.46,46.05,8760700,46.05
2011-01-18,45.20,45.73,45.12,45.62,6183100,45.62
2011-01-17,45.80,45.83,45.23,45.30,8854500,45.30
2011-01-14,45.63,45.85,45.47,45.85,7866700,45.85
2011-01-13,45.72,46.07,45.66,46.05,8386200,46.05
2011-01-12,45.06,45.27,45.02,45.20,8773900,45.20
2011-01-11,44.45,44.62,44.24,44.61,6331100,44.61
2011-01-10,44.47,44.54,44.22,44.45,4554400,44.45
2011-01-07,44.79,44.87,44.42,44.62,7500700,44.62
2011-01-06,45.18,45.20,44.76,45.14,7927800,45.14
2011-01-05,45.22,45.37,44.94,45.01,10027200,45.01
2011-01-04,45.79,45.83,45.31,45.45,7948100,45.45
2010-12-31,45.78,45.78,45.25,45.25,3163000,45.25
2010-12-30,45.64,45.85,45.58,45.85,3573900,45.85
2010-12-29,45.50,45.71,45.24,45.45,7347100,45.45
2010-12-24,46.17,46.20,45.91,46.04,27358100,46.04
2010-12-23,45.96,46.59,45.85,46.47,8766900,46.47
2010-12-22,45.69,45.85,45.60,45.82,6648700,45.82
2010-12-21,45.00,45.53,44.97,45.42,9112000,45.42
2010-12-20,45.10,45.30,44.82,44.82,8708100,44.82
2010-12-17,45.42,45.44,45.03,45.03,6217700,45.03
2010-12-16,45.29,45.42,45.18,45.38,11309400,45.38
2010-12-15,45.48,45.59,44.51,45.35,11686600,45.35
2010-12-14,45.74,45.77,45.57,45.65,5813700,45.65
2010-12-13,45.50,45.74,45.38,45.44,8957200,45.44
2010-12-10,45.30,45.44,45.03,45.44,10354300,45.44
2010-12-09,44.93,45.54,44.87,45.44,17346500,45.44
2010-12-08,45.16,45.18,44.75,44.86,8632200,44.86
2010-12-07,44.81,45.20,44.73,45.08,9481400,45.08
2010-12-06,44.60,44.80,44.45,44.53,7040600,44.53
2010-12-03,44.72,44.90,44.45,44.59,7607200,44.59
2010-12-02,44.01,44.44,43.96,44.33,12734700,44.33
2010-12-01,42.85,43.20,42.82,43.20,8727300,43.20
2010-11-30,43.30,43.31,42.65,42.74,12892200,42.74
2010-11-29,43.08,43.35,42.68,43.24,9605700,43.24
2010-11-26,43.46,43.62,43.05,43.20,22256500,43.20
