Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,8.95,8.95,8.78,8.88,549400,8.88
2011-05-13,9.08,9.11,9.00,9.01,716600,9.01
2011-05-12,9.12,9.13,9.04,9.08,915200,9.08
2011-05-11,9.21,9.25,9.15,9.20,588200,9.20
2011-05-10,9.30,9.33,9.13,9.15,487500,9.15
2011-05-09,9.28,9.37,9.25,9.28,354600,9.28
2011-05-06,9.24,9.34,9.16,9.28,773200,9.28
2011-05-05,9.34,9.34,9.22,9.26,721500,9.26
2011-05-04,9.35,9.36,9.15,9.19,1041100,9.19
2011-05-03,9.46,9.46,9.34,9.35,755400,9.35
2011-05-02,9.86,9.94,9.61,9.74,1306000,9.74
2011-04-29,9.98,9.98,9.83,9.83,918200,9.83
2011-04-28,9.90,9.97,9.89,9.95,313900,9.95
2011-04-27,9.94,9.94,9.86,9.86,492500,9.86
2011-04-21,9.88,9.93,9.84,9.86,660800,9.86
2011-04-20,9.78,9.85,9.73,9.82,598400,9.82
2011-04-19,9.73,9.78,9.72,9.73,779600,9.73
2011-04-18,9.79,9.83,9.75,9.78,557900,9.78
2011-04-15,9.93,9.94,9.77,9.77,849000,9.77
2011-04-14,9.80,9.96,9.79,9.85,1363500,9.85
2011-04-13,9.74,9.88,9.72,9.77,877000,9.77
2011-04-12,9.86,9.93,9.71,9.79,565800,9.79
2011-04-11,10.00,10.00,9.89,9.89,570800,9.89
2011-04-08,9.95,9.99,9.91,9.99,380400,9.99
2011-04-07,9.90,9.99,9.87,9.95,267000,9.95
2011-04-06,9.91,10.00,9.90,9.98,678700,9.98
2011-04-05,9.86,9.95,9.83,9.95,354100,9.95
2011-04-04,9.81,9.93,9.81,9.89,272100,9.89
2011-04-01,9.92,9.93,9.77,9.82,551100,9.82
2011-03-31,9.93,9.94,9.81,9.92,421100,9.92
2011-03-30,9.79,9.95,9.76,9.95,396700,9.95
2011-03-29,9.66,9.79,9.64,9.75,453400,9.75
2011-03-28,9.64,9.77,9.64,9.65,273300,9.65
2011-03-25,9.71,9.79,9.62,9.70,497800,9.70
2011-03-24,9.57,9.78,9.57,9.60,460700,9.60
2011-03-23,9.58,9.64,9.50,9.58,292600,9.58
2011-03-22,9.74,9.82,9.55,9.58,459800,9.58
2011-03-21,9.63,9.76,9.54,9.74,415800,9.74
2011-03-18,9.67,9.69,9.41,9.56,456200,9.56
2011-03-17,9.70,9.75,9.33,9.46,1187800,9.46
