Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,1.18,1.18,1.17,1.17,137100,1.17
2011-05-13,1.24,1.24,1.18,1.20,497700,1.20
2011-05-12,1.18,1.25,1.16,1.24,646900,1.24
2011-05-11,1.17,1.20,1.16,1.18,229600,1.18
2011-05-10,1.20,1.21,1.17,1.18,484000,1.18
2011-05-09,1.20,1.23,1.20,1.20,336600,1.20
2011-05-06,1.20,1.21,1.18,1.20,285800,1.20
2011-05-05,1.17,1.21,1.17,1.20,347000,1.20
2011-05-04,1.17,1.18,1.17,1.18,123300,1.18
2011-05-03,1.19,1.20,1.17,1.17,248900,1.17
2011-05-02,1.20,1.20,1.18,1.19,162300,1.19
2011-04-29,1.20,1.22,1.17,1.20,409800,1.20
2011-04-28,1.21,1.22,1.16,1.20,870000,1.20
2011-04-27,1.28,1.28,1.21,1.22,794800,1.22
2011-04-21,1.31,1.31,1.28,1.28,481000,1.28
2011-04-20,1.34,1.34,1.30,1.31,394100,1.31
2011-04-19,1.34,1.35,1.32,1.33,419800,1.33
2011-04-18,1.35,1.36,1.34,1.35,236900,1.35
2011-04-15,1.35,1.36,1.32,1.36,721400,1.36
2011-04-14,1.36,1.37,1.35,1.36,405300,1.36
2011-04-13,1.36,1.36,1.31,1.35,452100,1.35
2011-04-12,1.40,1.40,1.34,1.35,618100,1.35
2011-04-11,1.40,1.42,1.38,1.38,453700,1.38
2011-04-08,1.40,1.40,1.38,1.38,350800,1.38
2011-04-07,1.40,1.41,1.38,1.38,731100,1.38
2011-04-06,1.38,1.41,1.37,1.38,930400,1.38
2011-04-05,1.40,1.42,1.37,1.37,1191300,1.37
2011-04-04,1.46,1.49,1.38,1.39,2985700,1.39
2011-04-01,1.50,1.66,1.38,1.42,7860900,1.42
2011-03-31,0.99,1.05,0.99,1.05,925100,1.05
2011-03-30,0.99,1.01,0.98,1.00,742000,1.00
2011-03-29,0.99,1.00,0.98,0.99,427700,0.99
2011-03-28,1.00,1.03,0.99,1.00,539100,1.00
2011-03-25,0.98,1.02,0.98,1.00,602800,1.00
2011-03-24,0.97,0.99,0.96,0.99,733300,0.99
2011-03-23,0.97,0.98,0.96,0.97,209500,0.97
2011-03-22,0.96,0.98,0.95,0.97,548700,0.97
2011-03-21,0.96,0.98,0.95,0.96,399500,0.96
2011-03-18,0.95,0.97,0.93,0.96,874300,0.96
2011-03-17,0.92,0.96,0.89,0.95,1538200,0.95
2011-03-16,0.89,0.97,0.89,0.93,1459800,0.93
2011-03-15,1.00,1.00,0.90,0.94,1199500,0.94
2011-03-14,1.02,1.03,0.98,0.99,650000,0.99
2011-03-11,1.03,1.04,1.02,1.03,485800,1.03
2011-03-10,1.09,1.10,1.03,1.05,414600,1.05
2011-03-09,1.11,1.12,1.09,1.09,366800,1.09
2011-03-08,1.08,1.13,1.07,1.11,1027000,1.11
2011-03-07,1.06,1.11,1.05,1.09,671100,1.09
2011-03-04,1.07,1.09,1.06,1.08,760700,1.08
2011-03-03,1.06,1.07,1.04,1.07,379100,1.07
2011-03-02,1.07,1.08,1.05,1.07,321100,1.07
2011-03-01,1.09,1.09,1.06,1.07,362900,1.07
2011-02-28,1.07,1.08,1.04,1.08,759300,1.08
2011-02-25,1.07,1.09,1.07,1.07,521900,1.07
2011-02-24,1.06,1.09,1.05,1.07,651800,1.07
2011-02-23,1.02,1.09,1.02,1.06,1703500,1.06
2011-02-22,1.09,1.10,1.01,1.04,2128000,1.04
2011-02-21,1.14,1.14,1.09,1.09,1210100,1.09
2011-02-18,1.09,1.16,1.09,1.13,2197000,1.13
2011-02-17,1.26,1.26,1.09,1.10,6343200,1.10
2011-02-16,1.43,1.43,1.26,1.28,5266500,1.28
2011-02-15,1.52,1.54,1.50,1.53,970300,1.53
2011-02-14,1.49,1.52,1.48,1.52,1168700,1.52
2011-02-11,1.48,1.51,1.42,1.44,1282100,1.44
2011-02-10,1.40,1.49,1.39,1.48,1359000,1.48
2011-02-09,1.42,1.43,1.39,1.41,528400,1.41
2011-02-08,1.41,1.45,1.37,1.41,1667800,1.41
2011-02-07,1.29,1.42,1.28,1.41,2440500,1.41
2011-02-04,1.29,1.30,1.28,1.28,445700,1.28
2011-02-03,1.30,1.32,1.28,1.29,655500,1.29
2011-02-02,1.30,1.31,1.27,1.30,668200,1.30
2011-02-01,1.31,1.34,1.28,1.28,966100,1.28
2011-01-31,1.28,1.29,1.25,1.27,626500,1.27
2011-01-28,1.33,1.35,1.30,1.30,1198600,1.30
2011-01-27,1.30,1.36,1.28,1.31,1737200,1.31
2011-01-25,1.24,1.30,1.22,1.28,925400,1.28
